d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales,955628.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales,719142.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales,513507.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales,436418.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,292248.0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales,181450.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales,117178.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales,116166.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales_Selenomonadales,80293.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,52185.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales_Tissierellales,43404.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales,40749.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales,33732.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales,20585.0
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales,16486.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales,16160.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG_014,14295.0
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales,8244.0
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales,7866.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales,6826.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales,6593.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales,4710.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales,3000.0
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales,2685.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales,2171.0
d__Bacteria;p__Firmicutes;c__Bacilli;__,1743.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales,1657.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales,1260.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales,1111.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales,918.0
d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales,796.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales,718.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales,401.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39,218.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__,162.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales,155.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia,127.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales,95.0
d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales,78.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales,66.0
d__Bacteria;p__Firmicutes;c__Clostridia;__,60.0
d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales,59.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group,54.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales,31.0
d__Bacteria;p__Firmicutes;c__Incertae_Sedis;o__DTU014,31.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Entomoplasmatales,23.0
