index,d__Archaea;p__Euryarchaeota;c__Methanobacteria,d__Bacteria;p__Actinobacteriota;c__Actinobacteria,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia,d__Bacteria;p__Bacteroidota;c__Bacteroidia,d__Bacteria;p__Campilobacterota;c__Campylobacteria,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia,d__Bacteria;p__Firmicutes;c__Bacilli,d__Bacteria;p__Firmicutes;c__Clostridia,d__Bacteria;p__Firmicutes;c__Incertae_Sedis,d__Bacteria;p__Firmicutes;c__Negativicutes,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia,d__Bacteria;p__Patescibacteria;c__Saccharimonadia,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,d__Bacteria;p__Synergistota;c__Synergistia,d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae,Group,sampleid_description
C60,0.0,69.0,73.0,477.0,0.0,0.0,90.0,1696.0,0.0,90.0,0.0,0.0,0.0,23931.0,0.0,0.0,0.0,C,C60
C61,0.0,344.0,50.0,3308.0,0.0,46.0,13.0,14675.0,0.0,1670.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,C,C61
C62,0.0,7680.0,1142.0,958.0,0.0,0.0,152.0,4767.0,0.0,11603.0,0.0,12.0,26.0,1651.0,0.0,0.0,0.0,C,C62
C63,0.0,120.0,26.0,1370.0,0.0,16.0,65.0,16358.0,0.0,40.0,0.0,0.0,0.0,710.0,0.0,0.0,0.0,C,C63
C64,0.0,15.0,0.0,115.0,0.0,0.0,14.0,12114.0,0.0,946.0,240.0,0.0,0.0,2412.0,0.0,0.0,0.0,C,C64
C71,0.0,545.0,244.0,37.0,0.0,0.0,1219.0,10356.0,0.0,0.0,0.0,117.0,0.0,9138.0,0.0,0.0,0.0,C,C71
C72,0.0,197.0,4591.0,880.0,0.0,82.0,1804.0,15760.0,0.0,1127.0,0.0,77.0,44.0,371.0,0.0,0.0,0.0,C,C72
C73,3.0,330.0,503.0,22.0,0.0,11.0,1870.0,10852.0,0.0,195.0,1772.0,150.0,5.0,279.0,0.0,0.0,0.0,C,C73
C74,0.0,40.0,104.0,28.0,0.0,0.0,146.0,7590.0,0.0,15.0,0.0,12.0,0.0,13373.0,0.0,0.0,0.0,C,C74
C75,63.0,42.0,281.0,1203.0,0.0,23.0,119.0,17640.0,0.0,33.0,0.0,0.0,0.0,38.0,0.0,0.0,173.0,C,C75
C76,0.0,592.0,141.0,1877.0,0.0,0.0,52.0,12963.0,0.0,14.0,0.0,0.0,0.0,169.0,0.0,0.0,0.0,C,C76
C77,0.0,1407.0,194.0,3.0,0.0,0.0,338.0,15987.0,0.0,0.0,0.0,21.0,0.0,4542.0,0.0,0.0,0.0,C,C77
C78,0.0,47.0,41.0,5.0,0.0,0.0,237.0,3867.0,0.0,6.0,0.0,0.0,0.0,20298.0,0.0,0.0,2.0,C,C78
C79,0.0,5337.0,884.0,3356.0,0.0,0.0,694.0,6909.0,0.0,587.0,0.0,0.0,3.0,287.0,0.0,0.0,0.0,C,C79
C80,0.0,2401.0,459.0,102.0,0.0,0.0,418.0,13805.0,0.0,0.0,0.0,8.0,0.0,17.0,0.0,0.0,0.0,C,C80
C81,12.0,65.0,199.0,1984.0,0.0,180.0,130.0,13226.0,0.0,47.0,0.0,0.0,0.0,282.0,0.0,0.0,0.0,C,C81
C82,0.0,4052.0,1145.0,205.0,0.0,221.0,385.0,1519.0,0.0,36.0,6.0,139.0,0.0,13736.0,0.0,0.0,0.0,C,C82
C83,0.0,5028.0,30.0,11.0,0.0,0.0,10889.0,96.0,0.0,50.0,0.0,6.0,0.0,53.0,0.0,0.0,0.0,C,C83
C84,0.0,0.0,111.0,2401.0,0.0,22.0,8.0,9932.0,0.0,23.0,3.0,0.0,0.0,117.0,0.0,0.0,3.0,C,C84
C85,120.0,289.0,157.0,171.0,0.0,14.0,94.0,11765.0,0.0,122.0,0.0,0.0,3.0,25.0,5.0,0.0,6.0,C,C85
C86,0.0,8599.0,1526.0,513.0,0.0,89.0,1118.0,8218.0,0.0,42.0,0.0,149.0,4.0,257.0,0.0,0.0,0.0,C,C86
C87,0.0,16.0,110.0,1233.0,0.0,0.0,140.0,17014.0,0.0,41.0,0.0,0.0,0.0,2698.0,0.0,0.0,0.0,C,C87
C88,55.0,294.0,645.0,334.0,0.0,0.0,184.0,11953.0,0.0,23.0,0.0,10.0,4.0,1280.0,0.0,0.0,0.0,C,C88
