index,d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales,d__Bacteria;p__Firmicutes;c__Bacilli;__,d__Bacteria;p__Firmicutes;c__Bacilli;o__Entomoplasmatales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales,d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39,d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales,d__Bacteria;p__Firmicutes;c__Clostridia;__,d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG_014,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales_Tissierellales,d__Bacteria;p__Firmicutes;c__Incertae_Sedis;o__DTU014,d__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales,d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales_Selenomonadales,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales,d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales,d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales,Group,sampleid_description
AD103,0.0,4.0,617.0,0.0,0.0,36.0,9135.0,0.0,0.0,0.0,0.0,16.0,18.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,132.0,686.0,0.0,478.0,0.0,20.0,0.0,0.0,2858.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,AD,AD103
AD104,0.0,44.0,63.0,0.0,17.0,369.0,468.0,0.0,18.0,0.0,0.0,1088.0,398.0,0.0,10.0,0.0,79.0,0.0,0.0,0.0,113.0,0.0,3892.0,57.0,6674.0,3.0,548.0,0.0,5.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3040.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,AD,AD104
AD105,0.0,0.0,187.0,0.0,0.0,54.0,8066.0,0.0,0.0,0.0,0.0,165.0,9.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,77.0,116.0,4646.0,0.0,722.0,0.0,104.0,0.0,415.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,94.0,4.0,0.0,0.0,2.0,0.0,0.0,675.0,AD,AD105
AD106,0.0,103.0,11221.0,8.0,4.0,259.0,6.0,0.0,0.0,0.0,0.0,567.0,51.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,51.0,4846.0,0.0,294.0,0.0,171.0,0.0,6.0,0.0,0.0,98.0,4.0,15.0,0.0,0.0,4.0,0.0,5432.0,23.0,0.0,0.0,3.0,0.0,0.0,757.0,AD,AD106
AD107,0.0,0.0,250.0,87.0,0.0,62.0,3268.0,0.0,10.0,0.0,0.0,184.0,251.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,21.0,2573.0,0.0,5756.0,0.0,23.0,0.0,11.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9639.0,8.0,0.0,0.0,6.0,0.0,0.0,9.0,AD,AD107
AD108,0.0,12.0,346.0,0.0,0.0,68.0,7617.0,0.0,25.0,0.0,0.0,103.0,126.0,0.0,5.0,0.0,13.0,0.0,0.0,0.0,22.0,0.0,1175.0,4.0,6008.0,0.0,78.0,0.0,0.0,29.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,5351.0,AD,AD108
AD109,0.0,115.0,7356.0,39.0,9.0,12278.0,433.0,4.0,0.0,0.0,2.0,148.0,926.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,1643.0,100.0,1115.0,5.0,875.0,0.0,170.0,0.0,32.0,30.0,0.0,0.0,5.0,24.0,0.0,0.0,18.0,25.0,483.0,42.0,0.0,10.0,25.0,0.0,0.0,4.0,AD,AD109
AD11,8.0,0.0,7.0,0.0,5.0,131.0,1736.0,0.0,199.0,0.0,0.0,173.0,31.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,40.0,0.0,1625.0,6.0,3599.0,0.0,41.0,0.0,3049.0,1703.0,0.0,0.0,5.0,22.0,0.0,12.0,0.0,46.0,9081.0,42.0,0.0,0.0,16.0,17.0,0.0,0.0,AD,AD11
AD110,3.0,0.0,0.0,6518.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19621.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,27.0,0.0,0.0,2.0,0.0,24.0,46.0,0.0,0.0,13.0,0.0,0.0,7.0,AD,AD110
AD111,1294.0,0.0,79.0,0.0,3.0,114.0,12774.0,0.0,0.0,0.0,0.0,18.0,68.0,0.0,0.0,0.0,66.0,53.0,503.0,0.0,5.0,0.0,3093.0,14.0,2950.0,0.0,28.0,0.0,366.0,13.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,36.0,133.0,12.0,0.0,0.0,7.0,0.0,0.0,1200.0,AD,AD111
AD112,0.0,31.0,3575.0,0.0,5.0,14.0,650.0,0.0,0.0,0.0,0.0,148.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,0.0,3312.0,6.0,101.0,0.0,422.0,0.0,145.0,10173.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,4443.0,2.0,0.0,6.0,2.0,0.0,0.0,10.0,AD,AD112
AD113,13.0,24.0,491.0,3.0,0.0,71.0,8305.0,0.0,66.0,0.0,0.0,26.0,74.0,0.0,9.0,0.0,135.0,0.0,0.0,0.0,0.0,6.0,2027.0,0.0,3922.0,0.0,62.0,0.0,114.0,5.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,21.0,8329.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,AD,AD113
AD114,0.0,29.0,1007.0,0.0,0.0,123.0,7087.0,0.0,0.0,0.0,0.0,115.0,210.0,0.0,0.0,0.0,252.0,0.0,1687.0,0.0,81.0,0.0,2608.0,549.0,5844.0,0.0,484.0,0.0,0.0,180.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1479.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,AD,AD114
AD116,0.0,179.0,755.0,0.0,0.0,256.0,3277.0,0.0,0.0,0.0,0.0,56.0,188.0,0.0,18.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2556.0,71.0,1028.0,0.0,130.0,0.0,107.0,1947.0,0.0,198.0,0.0,0.0,0.0,0.0,0.0,338.0,9931.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,AD,AD116
AD118,162.0,61.0,195.0,0.0,0.0,1319.0,1911.0,2.0,39.0,0.0,0.0,125.0,665.0,0.0,29.0,0.0,1247.0,19.0,0.0,0.0,0.0,22.0,5962.0,183.0,6492.0,0.0,507.0,0.0,8.0,213.0,0.0,168.0,3.0,24.0,64.0,0.0,8.0,61.0,2206.0,18.0,0.0,0.0,18.0,19.0,4.0,3461.0,AD,AD118
AD119,0.0,102.0,4800.0,0.0,10.0,1809.0,11.0,0.0,0.0,0.0,0.0,235.0,1927.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,4196.0,267.0,317.0,0.0,297.0,0.0,0.0,32.0,0.0,35.0,0.0,3.0,0.0,0.0,0.0,0.0,9964.0,4.0,0.0,0.0,2.0,0.0,0.0,41.0,AD,AD119
AD12,0.0,0.0,2605.0,0.0,0.0,109.0,1396.0,0.0,4.0,0.0,0.0,138.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3147.0,234.0,5331.0,0.0,12.0,0.0,120.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,AD,AD12
AD120,4.0,57.0,11368.0,0.0,0.0,1360.0,832.0,0.0,24.0,0.0,0.0,64.0,220.0,50.0,0.0,0.0,426.0,0.0,0.0,0.0,243.0,0.0,2416.0,37.0,4465.0,0.0,1534.0,0.0,0.0,0.0,0.0,103.0,0.0,27.0,0.0,0.0,2.0,0.0,6427.0,24.0,0.0,0.0,10.0,0.0,0.0,1493.0,AD,AD120
AD121,0.0,13.0,136.0,0.0,0.0,240.0,244.0,0.0,0.0,0.0,0.0,10.0,98.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,3716.0,180.0,2178.0,0.0,34.0,0.0,19.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,109.0,23186.0,3.0,77.0,0.0,0.0,0.0,0.0,6.0,AD,AD121
AD122,0.0,136.0,1060.0,0.0,4.0,312.0,260.0,20.0,18.0,5.0,8.0,1416.0,235.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,2102.0,0.0,2159.0,8.0,840.0,0.0,968.0,0.0,0.0,279.0,0.0,77.0,0.0,27.0,0.0,0.0,24.0,14.0,21051.0,25.0,73.0,19.0,7.0,0.0,0.0,3.0,AD,AD122
AD123,0.0,37.0,30.0,0.0,60.0,265.0,7549.0,0.0,1371.0,0.0,0.0,33.0,473.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,1377.0,14.0,11587.0,0.0,160.0,0.0,0.0,270.0,0.0,48.0,4.0,18.0,0.0,0.0,12.0,24.0,689.0,23.0,0.0,5.0,16.0,0.0,0.0,15.0,AD,AD123
AD125,0.0,16.0,5.0,0.0,5.0,119.0,142.0,0.0,5.0,0.0,0.0,433.0,131.0,0.0,8.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,3102.0,501.0,17898.0,0.0,80.0,0.0,0.0,8.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,13.0,1950.0,5.0,0.0,0.0,0.0,0.0,0.0,158.0,AD,AD125
AD126,0.0,171.0,1591.0,8.0,61.0,610.0,871.0,4.0,0.0,0.0,0.0,418.0,1633.0,0.0,233.0,0.0,0.0,0.0,0.0,0.0,177.0,7.0,6627.0,0.0,907.0,0.0,627.0,0.0,0.0,245.0,0.0,465.0,0.0,15.0,0.0,0.0,8.0,0.0,10521.0,23.0,0.0,7.0,10.0,0.0,0.0,0.0,AD,AD126
AD127,81.0,0.0,117.0,0.0,0.0,162.0,1432.0,0.0,232.0,0.0,0.0,198.0,481.0,16.0,0.0,0.0,784.0,0.0,1916.0,8.0,4.0,0.0,1171.0,9.0,3384.0,0.0,74.0,0.0,0.0,335.0,5.0,7.0,0.0,3.0,0.0,0.0,5.0,0.0,19013.0,2.0,0.0,0.0,0.0,4.0,0.0,36.0,AD,AD127
AD13,0.0,0.0,12.0,0.0,0.0,20.0,3797.0,0.0,47.0,0.0,0.0,8.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2192.0,91.0,6445.0,0.0,0.0,0.0,221.0,53.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1439.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,AD,AD13
AD14,0.0,0.0,85.0,0.0,0.0,105.0,2643.0,0.0,0.0,0.0,0.0,364.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2242.0,12.0,4991.0,0.0,0.0,0.0,0.0,461.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2876.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,AD,AD14
AD16,0.0,0.0,2223.0,0.0,0.0,198.0,4.0,0.0,0.0,111.0,0.0,25.0,294.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,3545.0,58.0,5342.0,0.0,3.0,0.0,5.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,AD,AD16
AD17,0.0,14.0,7014.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,245.0,1380.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,664.0,33.0,2280.0,0.0,49.0,0.0,0.0,102.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,3332.0,AD,AD17
AD18,0.0,0.0,8845.0,0.0,0.0,751.0,50.0,0.0,0.0,0.0,0.0,37.0,654.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,2070.0,0.0,436.0,0.0,96.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,830.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,AD,AD18
AD19,0.0,0.0,4238.0,0.0,5.0,927.0,589.0,0.0,13.0,0.0,0.0,689.0,325.0,0.0,0.0,0.0,372.0,0.0,0.0,0.0,0.0,38.0,6870.0,13.0,5953.0,0.0,170.0,0.0,13.0,76.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,309.0,21.0,0.0,0.0,6.0,0.0,0.0,0.0,AD,AD19
AD20,0.0,0.0,4154.0,0.0,0.0,3783.0,40.0,0.0,20.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,6.0,2830.0,0.0,1020.0,0.0,205.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1333.0,AD,AD20
AD21,0.0,0.0,2223.0,0.0,0.0,52.0,0.0,0.0,9.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.0,5.0,13291.0,0.0,14.0,0.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,2.0,0.0,0.0,0.0,0.0,0.0,238.0,AD,AD21
AD22,0.0,5.0,7217.0,0.0,0.0,1898.0,537.0,0.0,71.0,0.0,0.0,36.0,190.0,0.0,0.0,0.0,716.0,0.0,0.0,0.0,0.0,56.0,1250.0,6.0,1329.0,0.0,411.0,0.0,155.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,0.0,0.0,0.0,0.0,0.0,0.0,2654.0,AD,AD22
AD23,0.0,0.0,46.0,0.0,0.0,71.0,964.0,0.0,0.0,0.0,0.0,52.0,7.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,40.0,0.0,1846.0,4.0,11061.0,0.0,15.0,0.0,7.0,476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,18.0,AD,AD23
AD24,0.0,0.0,6657.0,0.0,0.0,80.0,105.0,0.0,0.0,0.0,0.0,36.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,1821.0,0.0,1781.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6498.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,AD,AD24
AD25,0.0,5.0,881.0,0.0,0.0,35.0,0.0,0.0,10.0,0.0,0.0,125.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434.0,0.0,336.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4230.0,0.0,0.0,0.0,0.0,0.0,0.0,8193.0,AD,AD25
