index,d__Archaea;p__Euryarchaeota,d__Bacteria;p__Actinobacteriota,d__Bacteria;p__Bacteroidota,d__Bacteria;p__Campilobacterota,d__Bacteria;p__Desulfobacterota,d__Bacteria;p__Firmicutes,d__Bacteria;p__Fusobacteriota,d__Bacteria;p__Patescibacteria,d__Bacteria;p__Proteobacteria,d__Bacteria;p__Synergistota,d__Bacteria;p__Verrucomicrobiota,Group,sampleid_description
AD32,5.0,150.0,0.0,0.0,0.0,774.0,0.0,0.0,25927.0,0.0,0.0,AD,AD32
AD33,0.0,2104.0,3536.0,0.0,112.0,20961.0,13.0,14.0,310.0,0.0,0.0,AD,AD33
AD34,0.0,742.0,930.0,0.0,0.0,21022.0,0.0,0.0,95.0,0.0,11.0,AD,AD34
AD35,0.0,1161.0,185.0,0.0,5.0,15894.0,0.0,0.0,197.0,0.0,554.0,AD,AD35
AD36,0.0,36923.0,0.0,0.0,0.0,1434.0,0.0,0.0,781.0,0.0,0.0,AD,AD36
AD37,0.0,5863.0,1347.0,0.0,35.0,9229.0,0.0,3.0,1265.0,9.0,4203.0,AD,AD37
AD40,0.0,3616.0,863.0,0.0,25.0,12938.0,0.0,0.0,262.0,0.0,9.0,AD,AD40
AD41,0.0,544.0,82.0,0.0,310.0,17755.0,0.0,19.0,384.0,9.0,7.0,AD,AD41
AD47,0.0,2880.0,9331.0,0.0,0.0,6691.0,0.0,0.0,184.0,0.0,0.0,AD,AD47
AD50,0.0,437.0,3065.0,0.0,12.0,11457.0,0.0,57.0,9864.0,0.0,7.0,AD,AD50
AD53,0.0,3285.0,1250.0,25.0,0.0,27806.0,0.0,0.0,1543.0,0.0,76.0,AD,AD53
AD54,0.0,4551.0,1121.0,0.0,4.0,8372.0,0.0,0.0,6835.0,6.0,2309.0,AD,AD54
AD55,43.0,16109.0,292.0,0.0,0.0,9226.0,4.0,0.0,232.0,0.0,20.0,AD,AD55
AD58,26.0,997.0,0.0,0.0,209.0,6049.0,5316.0,7.0,211.0,47.0,8456.0,AD,AD58
AD59,0.0,1955.0,105.0,0.0,0.0,19789.0,0.0,65.0,171.0,0.0,5.0,AD,AD59
AD60,2586.0,18909.0,176.0,0.0,75.0,8328.0,0.0,0.0,821.0,8.0,767.0,AD,AD60
AD61,0.0,969.0,102.0,0.0,0.0,11019.0,0.0,0.0,12182.0,0.0,4.0,AD,AD61
AD62,0.0,13633.0,45.0,0.0,3.0,3696.0,0.0,0.0,1438.0,0.0,3948.0,AD,AD62
AD63,0.0,766.0,185.0,0.0,6.0,15762.0,0.0,3.0,139.0,0.0,0.0,AD,AD63
AD64,0.0,73.0,518.0,0.0,98.0,16971.0,0.0,0.0,767.0,0.0,0.0,AD,AD64
AD65,0.0,83.0,2475.0,0.0,210.0,10047.0,0.0,0.0,6179.0,0.0,1197.0,AD,AD65
AD66,0.0,1926.0,5131.0,0.0,490.0,4006.0,0.0,0.0,14.0,115.0,7546.0,AD,AD66
AD67,0.0,143.0,0.0,0.0,0.0,649.0,0.0,0.0,12783.0,0.0,8770.0,AD,AD67
AD68,0.0,222.0,59.0,0.0,0.0,14760.0,0.0,0.0,106.0,0.0,3.0,AD,AD68
AD69,0.0,1534.0,3870.0,0.0,4.0,15176.0,0.0,0.0,429.0,0.0,7.0,AD,AD69
AD70,0.0,10517.0,188.0,0.0,0.0,3431.0,0.0,0.0,156.0,0.0,2520.0,AD,AD70
AD71,0.0,35.0,3.0,0.0,0.0,1242.0,0.0,0.0,5580.0,0.0,15664.0,AD,AD71
AD74,0.0,14973.0,3740.0,0.0,156.0,1951.0,0.0,0.0,508.0,39.0,0.0,AD,AD74
AD75,122.0,7594.0,9629.0,0.0,30.0,5330.0,128.0,6.0,801.0,0.0,7.0,AD,AD75
AD76,0.0,6005.0,355.0,0.0,339.0,18780.0,0.0,0.0,1397.0,0.0,0.0,AD,AD76
AD77,0.0,2045.0,11106.0,0.0,116.0,7174.0,0.0,0.0,55.0,0.0,4.0,AD,AD77
AD78,10513.0,2381.0,1081.0,0.0,136.0,17994.0,0.0,0.0,3434.0,0.0,32.0,AD,AD78
AD79,0.0,4091.0,46.0,0.0,142.0,4556.0,0.0,25.0,12335.0,35.0,14124.0,AD,AD79
AD80,203.0,255.0,582.0,0.0,97.0,2845.0,4.0,0.0,22641.0,88.0,993.0,AD,AD80
AD83,348.0,4640.0,94.0,0.0,33.0,18199.0,0.0,4.0,1599.0,7.0,691.0,AD,AD83
AD84,0.0,1887.0,202.0,0.0,119.0,20972.0,0.0,0.0,688.0,0.0,0.0,AD,AD84
AD85,0.0,532.0,3468.0,0.0,174.0,16760.0,0.0,39.0,1438.0,0.0,10.0,AD,AD85
AD86,0.0,8743.0,10.0,0.0,10.0,6406.0,0.0,0.0,7257.0,0.0,371.0,AD,AD86
AD88,0.0,505.0,766.0,0.0,290.0,8460.0,0.0,0.0,11701.0,0.0,7.0,AD,AD88
AD89,0.0,3331.0,2713.0,0.0,68.0,17943.0,0.0,0.0,2678.0,0.0,7.0,AD,AD89
AD90,0.0,17984.0,422.0,0.0,3.0,11105.0,0.0,0.0,158.0,72.0,239.0,AD,AD90
AD91,0.0,541.0,2943.0,0.0,3.0,13054.0,0.0,162.0,8776.0,9.0,3.0,AD,AD91
AD92,0.0,72.0,24.0,0.0,0.0,838.0,13.0,0.0,4309.0,0.0,22956.0,AD,AD92
AD93,0.0,573.0,77.0,0.0,340.0,4653.0,0.0,7.0,6128.0,0.0,19339.0,AD,AD93
AD94,0.0,152.0,5862.0,0.0,6.0,4018.0,0.0,0.0,13481.0,0.0,282.0,AD,AD94
AD96,0.0,298.0,0.0,0.0,0.0,14690.0,0.0,0.0,8279.0,0.0,488.0,AD,AD96
AD97,0.0,4562.0,6522.0,0.0,0.0,6921.0,0.0,35.0,5823.0,0.0,0.0,AD,AD97
AD98,0.0,43.0,4573.0,0.0,0.0,3075.0,0.0,0.0,794.0,3.0,24160.0,AD,AD98
AD99,0.0,23399.0,229.0,0.0,17.0,895.0,0.0,3.0,121.0,0.0,0.0,AD,AD99
C01,0.0,491.0,389.0,0.0,0.0,17658.0,0.0,0.0,513.0,0.0,162.0,C,C01
C02,4.0,167.0,27.0,0.0,0.0,9282.0,0.0,0.0,19924.0,0.0,0.0,C,C02
C03,0.0,324.0,1363.0,0.0,14.0,22745.0,0.0,9.0,338.0,0.0,184.0,C,C03
C05,0.0,133.0,2791.0,0.0,30.0,10984.0,0.0,0.0,6028.0,0.0,0.0,C,C05
C07,0.0,276.0,1144.0,0.0,7.0,20175.0,0.0,0.0,16.0,0.0,58.0,C,C07
C08,0.0,100.0,528.0,0.0,50.0,18092.0,0.0,0.0,2413.0,0.0,2.0,C,C08
C09,0.0,15.0,124.0,0.0,0.0,17281.0,0.0,0.0,5802.0,0.0,26.0,C,C09
C10,0.0,101.0,3425.0,0.0,19.0,16910.0,5.0,0.0,68.0,0.0,0.0,C,C10
C11,0.0,219.0,1040.0,0.0,7.0,16916.0,0.0,2.0,239.0,0.0,0.0,C,C11
C12,348.0,176.0,3636.0,0.0,81.0,12213.0,0.0,4.0,119.0,0.0,1820.0,C,C12
C13,0.0,3032.0,521.0,0.0,24.0,17069.0,3.0,11.0,651.0,0.0,8.0,C,C13
C15,0.0,1420.0,244.0,0.0,108.0,14382.0,0.0,13.0,4149.0,0.0,0.0,C,C15
C16,0.0,41.0,4614.0,0.0,34.0,9457.0,0.0,0.0,234.0,3.0,0.0,C,C16
C17,0.0,96.0,267.0,0.0,5.0,6721.0,0.0,0.0,24972.0,0.0,154.0,C,C17
C18,0.0,7421.0,7768.0,0.0,0.0,11015.0,3.0,10.0,921.0,0.0,0.0,C,C18
C19,13.0,1671.0,2157.0,0.0,204.0,18454.0,0.0,3.0,130.0,0.0,0.0,C,C19
C20,0.0,12.0,616.0,0.0,68.0,10989.0,0.0,6.0,7685.0,3.0,3.0,C,C20
C21,0.0,540.0,55.0,0.0,0.0,4998.0,0.0,0.0,26068.0,0.0,8.0,C,C21
C22,0.0,685.0,432.0,0.0,48.0,15094.0,0.0,8.0,3780.0,0.0,0.0,C,C22
C23,0.0,6529.0,71.0,0.0,0.0,6618.0,0.0,0.0,3382.0,0.0,3.0,C,C23
C24,0.0,197.0,31.0,0.0,2.0,16166.0,0.0,0.0,0.0,0.0,0.0,C,C24
C25,0.0,422.0,3791.0,0.0,19.0,14107.0,0.0,0.0,873.0,0.0,50.0,C,C25
C26,0.0,1615.0,598.0,0.0,33.0,8418.0,0.0,0.0,11082.0,0.0,0.0,C,C26
C27,0.0,330.0,613.0,0.0,22.0,18114.0,0.0,7.0,1096.0,0.0,0.0,C,C27
C28,0.0,2014.0,1228.0,0.0,7.0,13431.0,0.0,0.0,50.0,0.0,238.0,C,C28
C29,0.0,1042.0,44.0,0.0,0.0,7522.0,0.0,0.0,10913.0,0.0,7.0,C,C29
C30,0.0,151.0,1463.0,0.0,8.0,16260.0,0.0,12.0,85.0,0.0,98.0,C,C30
C31,0.0,86.0,183.0,0.0,0.0,14967.0,0.0,0.0,7.0,0.0,71.0,C,C31
C32,0.0,874.0,233.0,0.0,4.0,14506.0,29.0,36.0,402.0,0.0,0.0,C,C32
C33,0.0,191.0,410.0,0.0,5.0,13779.0,0.0,0.0,224.0,0.0,4572.0,C,C33
C34,0.0,5386.0,589.0,0.0,8.0,23852.0,0.0,0.0,840.0,0.0,0.0,C,C34
C35,0.0,90.0,814.0,0.0,25.0,13778.0,63.0,0.0,6310.0,0.0,0.0,C,C35
C36,0.0,209.0,224.0,0.0,0.0,18498.0,0.0,0.0,538.0,0.0,2.0,C,C36
C39,5.0,3226.0,8552.0,0.0,3.0,8543.0,0.0,0.0,83.0,0.0,5.0,C,C39
C40,0.0,522.0,24.0,0.0,0.0,569.0,0.0,0.0,29669.0,0.0,0.0,C,C40
C42,21.0,96.0,3737.0,0.0,159.0,11884.0,0.0,0.0,585.0,8.0,0.0,C,C42
C43,26.0,738.0,3513.0,0.0,85.0,6780.0,0.0,0.0,2569.0,30.0,0.0,C,C43
C44,0.0,1019.0,2282.0,0.0,19.0,12594.0,0.0,0.0,620.0,0.0,4.0,C,C44
C46,0.0,2398.0,2912.0,0.0,6.0,11405.0,16.0,0.0,158.0,0.0,0.0,C,C46
C49,0.0,129.0,0.0,0.0,0.0,2800.0,0.0,24.0,18067.0,0.0,0.0,C,C49
C50,0.0,903.0,2308.0,0.0,113.0,10185.0,0.0,0.0,242.0,0.0,6.0,C,C50
C51,103.0,107.0,1581.0,0.0,7.0,12220.0,0.0,2.0,154.0,0.0,0.0,C,C51
C52,0.0,478.0,1469.0,0.0,0.0,5691.0,0.0,11.0,24150.0,4.0,12.0,C,C52
C54,0.0,1680.0,557.0,0.0,67.0,33071.0,0.0,0.0,1372.0,0.0,2.0,C,C54
C55,0.0,2765.0,3459.0,0.0,0.0,16578.0,0.0,9.0,1202.0,0.0,0.0,C,C55
C57,0.0,99.0,336.0,0.0,26.0,17325.0,0.0,3.0,1349.0,0.0,688.0,C,C57
C58,0.0,468.0,48.0,0.0,8.0,16958.0,0.0,29.0,8702.0,0.0,151.0,C,C58
C59,0.0,2149.0,8173.0,0.0,0.0,4513.0,33.0,0.0,3799.0,0.0,0.0,C,C59
C60,0.0,142.0,477.0,0.0,0.0,1876.0,0.0,0.0,23931.0,0.0,0.0,C,C60
C61,0.0,394.0,3308.0,0.0,46.0,16358.0,0.0,0.0,101.0,0.0,0.0,C,C61
