Percentile	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0
Group	AD	AD	AD	AD	AD	C	C	C	C	C
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter	1.0	1.0	1.0	1.0	10514.0	1.0	1.0	1.0	1.0	349.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces	1.0	1.0	1.0	17.0	642.0	1.0	1.0	1.0	7.0	546.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Alloscardovia	1.0	1.0	1.0	1.0	109.0	1.0	1.0	1.0	1.0	7.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	1.0	110.0	854.5	4822.5	36914.0	1.0	21.0	121.0	1028.5	8267.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Scardovia	1.0	1.0	1.0	1.0	49.0	1.0	1.0	1.0	1.0	13.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium	1.0	1.0	1.0	1.0	6519.0	1.0	1.0	1.0	1.0	3.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Lawsonella	1.0	1.0	1.0	1.0	19.0	1.0	1.0	1.0	1.0	1.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;__	1.0	1.0	1.0	1.0	48.0	1.0	1.0	1.0	1.0	9.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Nesterenkonia	1.0	1.0	1.0	1.0	69.0	1.0	1.0	1.0	1.0	5.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Rothia	1.0	1.0	1.0	1.0	423.0	1.0	1.0	1.0	1.0	124.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;__;__	1.0	1.0	1.0	1.0	122.0	1.0	1.0	1.0	1.0	88.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;__	1.0	1.0	1.0	1.0	14.0	1.0	1.0	1.0	1.0	6.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Atopobium	1.0	1.0	1.0	1.0	201.0	1.0	1.0	1.0	1.0	39.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Olsenella	1.0	1.0	1.0	1.0	2060.0	1.0	1.0	1.0	1.0	60.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	1.0	10.75	87.5	466.75	12043.0	1.0	4.0	63.0	274.5	3147.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Enorma	1.0	1.0	1.0	1.0	967.0	1.0	1.0	1.0	1.0	45.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriales_Incertae_Sedis;__	1.0	1.0	1.0	1.0	384.0	1.0	1.0	1.0	8.0	325.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriales_Incertae_Sedis;g__Raoultibacter	1.0	1.0	1.0	1.0	98.0	1.0	1.0	1.0	1.0	18.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;__	1.0	1.0	1.0	1.0	23.0	1.0	1.0	1.0	1.0	9.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Adlercreutzia	1.0	1.0	1.0	10.0	137.0	1.0	1.0	1.0	17.0	591.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__CHKCI002	1.0	1.0	1.0	1.0	110.0	1.0	1.0	1.0	1.0	216.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Cryptobacterium	1.0	1.0	1.0	1.0	11.0	1.0	1.0	1.0	1.0	5.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Eggerthella	1.0	1.0	11.5	62.25	487.0	1.0	1.0	1.0	10.0	113.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Enterorhabdus	1.0	1.0	1.0	1.0	57.0	1.0	1.0	1.0	1.0	672.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Gordonibacter	1.0	1.0	1.0	13.0	129.0	1.0	1.0	1.0	1.0	37.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Paraeggerthella	1.0	1.0	1.0	1.0	9.0	1.0	1.0	1.0	1.0	401.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Senegalimassilia	1.0	1.0	1.0	1.0	531.0	1.0	1.0	1.0	1.0	275.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Slackia	1.0	1.0	1.0	1.0	407.0	1.0	1.0	1.0	1.0	146.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;__;__	1.0	1.0	1.0	1.0	30.0	1.0	1.0	1.0	1.0	59.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	1.0	48.75	200.0	1359.0	9813.0	1.0	81.5	337.0	998.0	8358.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella	1.0	1.0	1.0	1.0	1759.0	1.0	1.0	1.0	3.0	621.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Coprobacter	1.0	1.0	1.0	1.0	1296.0	1.0	1.0	1.0	1.0	28.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Butyricimonas	1.0	1.0	1.0	1.0	256.0	1.0	1.0	1.0	1.0	193.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter	1.0	1.0	1.0	5.0	254.0	1.0	1.0	1.0	7.0	72.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG_873	1.0	1.0	1.0	1.0	255.0	1.0	1.0	1.0	1.0	24.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculaceae	1.0	1.0	1.0	1.0	236.0	1.0	1.0	1.0	1.0	233.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas	1.0	1.0	1.0	1.0	105.0	1.0	1.0	1.0	1.0	12.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;__	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	73.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella	1.0	1.0	1.0	1.0	28.0	1.0	1.0	1.0	1.0	82.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Paraprevotella	1.0	1.0	1.0	1.0	239.0	1.0	1.0	1.0	2.5	331.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	1.0	1.0	1.0	10.75	9218.0	1.0	1.0	1.0	181.0	2155.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotellaceae_NK3B31_group	1.0	1.0	1.0	1.0	227.0	1.0	1.0	1.0	1.0	21.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	1.0	1.0	16.5	141.5	3116.0	1.0	1.0	18.0	109.0	751.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenellaceae_RC9_gut_group	1.0	1.0	1.0	1.0	49.0	1.0	1.0	1.0	1.0	1.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;__	1.0	1.0	1.0	1.0	65.0	1.0	1.0	1.0	1.0	1.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides	1.0	1.0	19.5	105.0	4804.0	1.0	1.0	10.0	56.0	2027.0
d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Halarcobacter	1.0	1.0	1.0	1.0	10.0	1.0	1.0	1.0	1.0	1.0
d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Malaciobacter	1.0	1.0	1.0	1.0	17.0	1.0	1.0	1.0	1.0	1.0
