d__Bacteria;p__Firmicutes;c__Clostridia,1636978.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,730538.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria,449065.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia,292248.0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae,181450.0
d__Bacteria;p__Firmicutes;c__Bacilli,161171.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia,116166.0
d__Bacteria;p__Firmicutes;c__Negativicutes,96453.0
d__Archaea;p__Euryarchaeota;c__Methanobacteria,16486.0
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia,8244.0
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia,7866.0
d__Bacteria;p__Patescibacteria;c__Saccharimonadia,2685.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,1170.0
d__Bacteria;p__Synergistota;c__Synergistia,796.0
d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria,78.0
d__Bacteria;p__Campilobacterota;c__Campylobacteria,59.0
d__Bacteria;p__Firmicutes;c__Incertae_Sedis,31.0
