"Sample","Rank1","Phylum","Class","Order","Family","Genus","Species","OTU"
"AD","2","11","17","43","75","208","153","1456"
"C","2","10","15","37","68","185","129","1254"
"SUM","2","11","17","43","75","208","162","1584"
