#Taxonomy	AD01	AD04	AD05	AD07	AD08	AD09	AD10	AD100	AD101	AD102	AD103	AD104	AD105	AD106	AD107	AD108	AD109	AD11	AD110	AD111	AD112	AD113	AD114	AD116	AD118	AD119	AD12	AD120	AD121	AD122	AD123	AD125	AD126	AD127	AD13	AD14	AD16	AD17	AD18	AD19	AD20	AD21	AD22	AD23	AD24	AD25	AD26	AD27	AD29	AD30	AD31	AD32	AD33	AD34	AD35	AD36	AD37	AD40	AD41	AD47	AD50	AD53	AD54	AD55	AD58	AD59	AD60	AD61	AD62	AD63	AD64	AD65	AD66	AD67	AD68	AD69	AD70	AD71	AD74	AD75	AD76	AD77	AD78	AD79	AD80	AD83	AD84	AD85	AD86	AD88	AD89	AD90	AD91	AD92	AD93	AD94	AD96	AD97	AD98	AD99	C01	C02	C03	C05	C07	C08	C09	C10	C11	C12	C13	C15	C16	C17	C18	C19	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C30	C31	C32	C33	C34	C35	C36	C39	C40	C42	C43	C44	C46	C49	C50	C51	C52	C54	C55	C57	C58	C59	C60	C61	C62	C63	C64	C71	C72	C73	C74	C75	C76	C77	C78	C79	C80	C81	C82	C83	C84	C85	C86	C87	C88	Tax_detail
Cell growth and death	4485.753635874705	6640.358732434211	8903.681524024543	8964.148724031715	10117.115695591852	9477.546969799423	5200.34923719021	10751.642716800521	8434.50263272229	13876.672933556492	8489.432564104456	7103.457215796226	8747.61599317169	11764.331867941544	11492.980368493758	9610.701619709327	11222.777881731568	10229.806017770288	11136.302976966967	12123.174882449815	10723.04099061698	12704.770759425983	10912.46173697402	10746.29693052315	10943.432429960492	11763.28288920621	6224.918785681859	14214.2001048865	15433.469664126873	16393.84474903586	11335.9859693593	9481.145590914795	12557.476052332751	13744.033446109	7221.451403916727	6540.392775936653	5006.624233031819	6499.811477046229	6817.032958573063	9465.59092474188	6031.236251953389	6154.483437298625	7462.467354054112	6599.685543004025	8316.47329223566	5833.380603563351	7263.4622612978155	7798.951841281479	12880.5418409533	10768.11613712752	10623.367356956402	14162.190533868892	11589.213487162893	9718.408838402522	7678.490908558329	19265.69568168796	9293.070341568384	7456.106465102337	8164.349984584945	9266.10010217968	12491.707645565446	13880.715215450029	10087.438391060037	11555.612920774889	9002.251188840059	9492.492707391875	13227.365634351254	16561.95016431015	10549.344728046817	7052.432268002871	8113.723820276645	8975.209229083739	8751.83946801427	10016.755230693396	5362.453420161766	9925.559136612868	7386.220087100264	9045.262697273012	10969.947171344564	12438.693180884007	11325.840640293827	11623.046165032194	12170.035467895405	15332.461974488644	13156.217747375238	10865.541730897636	11393.128464683154	11865.720433815459	10044.142626744333	10635.555282560857	12894.292871257268	13564.610086338262	11578.667367697752	10283.678392427952	12161.489777981831	12858.499903090487	10056.050424240555	11681.808468302443	12930.678552992546	11882.609559953133	8378.129601662315	13395.347296288634	10509.803378287064	10069.327724454448	9657.463693578875	9540.896675305225	11102.423887145464	9477.30302343122	7886.323307123683	8436.232740498011	9398.705333782409	9361.089907151885	7291.0389366437375	15473.633600222445	13937.173976225386	10266.693896032366	8891.313699409537	15210.03182315426	9170.14976757421	7544.099507632883	6725.4608333632295	8920.550267624129	10304.264503316102	8820.509981501844	7547.655948512041	10991.754673606865	7943.3227487293125	6655.9218720973995	7065.96454473336	7898.140231465868	12083.87607810069	10068.735240277425	8574.124211892848	10258.242125307532	15092.339759192435	7934.806199100178	7057.943824438898	7350.542686762495	7861.317644126488	11208.620998289342	6465.663241187929	6167.014505464697	15485.002951078754	16411.975777956333	11786.075303648448	8370.822607482574	12504.76386947147	10438.187801283668	13898.132413692161	8853.471905885039	12827.767267246374	8432.198288547019	7182.444995965977	11240.220847668868	10646.660763393362	6702.943842119377	10828.761454731439	8351.516926332275	7109.015135300602	11904.899882313066	13076.910380239311	8622.32657552508	7213.614580864452	7166.538530555268	10286.620315316539	6279.385885967759	5870.686499982704	5560.6706147486875	9451.453185378798	9617.474048153932	6618.246203041266	Cellular Processes;Cell growth and death
Cell motility	4862.917307692311	3654.52692307692	1078.9	7653.6	2706.55	10860.67307692308	5159.83846153846	6354.1769230769205	11669.859615384621	8058.9740686986	1701.4365384615403	9594.244230769229	3118.531349782295	8432.43789308176	7110.380478955002	2190.27307692308	2909.84038461538	14199.168771165942	252.880769230769	5673.92307692308	4452.40769230769	12772.790384615379	9669.225	13081.83311562651	14536.70384615385	21389.8057692308	3461.31346153846	11349.928846153849	22590.932692307702	11114.978846153848	6523.553846153851	5213.41346153846	21503.155769230798	26038.6211538462	6724.490384615379	5092.5788461538505	4480.63461538462	976.251923076923	2958.12884615385	6281.625	2360.17115384615	748.205769230769	4368.6173076923105	2494.25	9963.6	5158.675	2194.1096153846197	560.503846153846	7945.875	10007.278846153851	6718.66346153846	15817.121153846201	6553.196153846149	3571.9923076923105	11251.748076923079	2074.74230769231	5506.3	5965.99615384615	6738.73846153846	1043.669230769231	17881.309615384598	15380.93461538462	13118.540384615379	1070.692307692308	4027.1857643928442	7477.3	6347.23269230769	21526.75	3500.625	6918.0519230769205	7566.6769230769205	19002.347351233675	3619.49807692308	3817.7961538461495	206.419230769231	8415.760401548143	2341.86346153846	3133.75384615385	1679.0423076923103	2691.51153846154	4107.0134615384595	4596.640094339623	17671.755769230767	5388.83653846154	8443.088461538458	5641.438461538461	18379.8230769231	17586.028168843717	9522.16153846154	17516.96730769231	6886.042126269954	8070.37884615385	16408.55769230769	5617.651923076919	11002.00961538462	9540.817307692309	14924.346153846149	7267.265384615381	1792.0615384615403	146.0346153846154	10933.95	26134.75	17072.15576923077	7670.579995162074	6123.6384615384595	24653.190384615402	12144.182692307691	8084.7365384615405	5998.09038461538	6740.30961538462	14561.95576923077	15725.66153846154	2822.7	40121.8596153846	5328.69423076923	22483.8192307692	18042.72884615385	30950.188461538502	17054.85192307692	7053.77692307692	4664.40961538462	7017.125	15992.77542331882	14190.79615384615	3566.0423076923103	9327.78461538462	5553.75384615385	12301.596153846149	3308.50384615385	8515.15576923077	5954.02692307692	9410.66923076923	22084.0923076923	3149.4423076923104	34500.7461538462	7562.142416545721	7532.03368408321	4690.938461538461	3743.6247460087097	35278.9634615385	4931.37692307692	6529.90384615385	25460.771153846203	8553.45192307692	16329.7653846154	7748.509615384621	11762.063461538459	7680.09807692308	7353.371153846149	6248.40192307692	3148.3038461538504	11801.5	20957.9596153846	8527.65769230769	8552.77115384615	9633.74038461538	21923.375	8495.42884615385	10058.63461538462	35700.0115384615	7082.240384615379	5190.91153846154	2889.00769230769	8478.91730769231	17798.238461538458	527.7307692307689	5572.31538461538	4070.28461538462	4901.11538461538	9695.563461538459	10038.74038461538	Cellular Processes;Cell motility
Cellular community - eukaryotes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8445945945945974	0.9819819819819819	0.0	0.18243243243243198	0.0675675675675676	0.44594594594594605	0.0	0.0	0.2481268397109982	0.0297029702970297	12.811881188118802	0.0	0.128712871287129	0.0	0.15540540540540498	1.6039603960396	0.0	0.0	0.0396039603960396	0.0	0.0	0.0	0.0	0.0	0.801980198019802	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6732673267326729	0.0	0.0	0.0	2.3168316831683198	0.0495049504950495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42574257425742607	0.372290607439122	0.0	25.6039603960396	0.0	0.0	0.0	0.0	0.0405405405405405	0.0	0.0	0.0	0.135135135135135	0.0	0.0	0.0	1.2079207920792099	0.0	0.44594594594594605	104.089108910891	0.0	2.00990099009901	3.4455445544554504	0.0	1.0405405405405401	0.0	0.0	0.547297297297297	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0540540540540541	0.0	0.0396039603960396	0.0	0.114864864864865	0.0	0.0	0.0	0.0	0.0	3.4455445544554504	0.0	0.0	0.0	0.0	0.0	0.128712871287129	0.0	0.0	0.0	0.0	0.0	0.0	0.15540540540540498	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0495049504950495	0.0	0.30927214343055903	0.3452635804120948	0.0	0.121621621621622	0.0	0.0	1.01980198019802	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0297029702970297	0.0	0.623762376237624	0.0	0.0	0.0	0.0	0.0	0.118811881188119	0.0	0.0	0.0	1.1881188118811898	0.0	0.0	0.544554455445545	Cellular Processes;Cellular community - eukaryotes
Cellular community - prokaryotes	3432.18574217106	11602.85420748033	4529.478558681505	9534.094567826374	7841.684799038056	8861.925268879795	3927.022960034971	7428.986582371884	12699.43812099682	13209.98212494992	5034.450336443052	7957.747436673036	5249.187983002455	11450.479824245996	17935.82815180029	5557.84750696223	6667.754460703105	14760.403091546521	6673.238964494043	6659.35076540714	11230.148940247998	14900.78793506045	7708.543479396827	16369.956940840319	9948.40034365425	20350.11489329226	3915.337405435654	14097.749600716399	36440.19977424363	33284.749423870206	7117.645658831995	8620.17457292555	21510.65038712107	25186.105986768707	5708.949621580241	6501.3815490160705	3624.469283619494	3642.245924207531	4575.058739473156	6711.837529380618	3464.7072753861066	4229.478441964222	4366.147375534418	3797.5581821847545	11053.00838873101	7263.487859083129	3969.8100174998976	4100.388415184808	8192.440587760386	7180.975227984196	9031.682102179071	37388.25613861776	7616.625613078581	6363.998246005425	5789.705517387019	9742.948434464157	6848.609822054621	5210.243085303858	5716.264968719582	4099.365108495853	18586.9032646507	10313.934572449642	12413.319423038649	6459.485168945144	5995.3066023656975	6675.935779002322	8905.642567795801	20644.087481781084	6597.295528557314	5136.023056973793	6073.362728672021	11749.349646520619	4753.991774074947	19185.64684639371	3279.0577955709778	6731.665369261309	4501.862375242079	11841.721498607629	6263.00659886663	7539.843066101669	8816.811000659858	6867.346819001761	11898.098122850379	22986.76129333394	29460.755462683148	8432.236317502404	8779.417694062598	10852.568078949429	12593.44659462867	18037.44088032274	10811.064710850096	8197.169957758235	16839.26852925593	10264.696077583929	13363.61647110601	22292.41633966599	14710.25101537625	11781.530444347452	8682.607533993023	5730.122689646449	6383.835423470014	27066.65134547856	7886.92440566639	11593.550566492082	5737.029363980067	10403.10615617972	13837.754992835009	5860.719490374508	5021.381100313831	5198.63864460568	7202.693206198423	10227.300989357202	4375.175620689014	33352.54161792108	8946.60741396103	7771.186336446372	13387.47958280849	32660.28846993935	10509.81543665516	7888.430564859268	4585.516760363425	6427.991170465916	16255.57896173704	7551.432422428215	4547.121249085391	18525.58942180298	4823.112230264195	4820.246834217739	4622.500411129293	4858.856383781456	9122.241286856606	13240.58829017644	7336.469839277982	6018.929090741987	36191.06233887657	5277.013331323253	6890.629962921634	5306.808272784115	4905.832638047517	29390.80031519894	4326.232663702121	4168.484637667859	29133.02790936658	11254.54110756983	8593.795049412129	6961.772596004632	17572.68687716116	9739.440301943452	33437.433861505895	5377.77584727681	6226.955609292716	6478.857490617777	7958.739876830063	17512.39104771499	7204.871275838186	5327.132963147865	19068.61187404452	5721.737065903137	5108.967094126612	14566.90865384527	30784.844151383102	5008.224768351906	4619.863052708969	4931.771504655334	18712.86068220665	3769.250804656377	3779.7035174620514	3740.2727987703784	5888.449380161039	8379.721622229068	6474.543826545272	Cellular Processes;Cellular community - prokaryotes
Transport and catabolism	574.5213947809883	1465.0627987811542	1364.1224571282498	1197.4425336081333	896.9932542131784	1368.9493653560485	447.30457360411816	1477.3175855565637	1486.4280600116695	3528.49924432805	2155.322150983735	788.4737917558493	2415.9800272421417	2191.955183664586	2133.1833051444382	2585.1121446195484	1397.5861586504357	1670.1803065462643	1269.3987766612124	3461.118118970503	1636.9531129416696	2996.9379384573876	2129.678945088661	2107.2829870799687	1678.9809840382427	2026.8650031787292	986.7468056954481	2662.794351755336	2673.3634418611286	2882.514798757303	1556.4766279874702	905.3919646619648	2162.7778584134553	2278.4913743630955	1254.7920801775826	982.7360807061975	601.0023840880684	1455.559339031438	1321.058563327881	1289.0892351244652	999.4523586658056	670.4418296160553	1538.8561384751702	858.5340340106833	1522.1761096995801	1920.8773423976731	1361.181850342059	1416.2441039346897	2026.611354982327	1947.69210602489	1438.3346831516433	2379.1771475670134	1572.4692355019279	806.5498454069459	847.0554425252246	3917.9812950155615	1840.756367640154	1051.8009852603166	726.790808939179	1141.0647657967784	1758.47239572536	1279.2161639357464	1714.0690474112162	2058.8527126212384	1899.5982410129484	1081.891076667648	2796.415062001905	2617.769615674924	2373.611354582119	683.0210396359206	862.7154694012843	1376.0560642844898	2651.8819339122892	2734.9664002708328	324.64300827514	1467.3307739493696	1682.3682204111492	3303.5860165966196	2764.106336958725	2754.4030068778875	931.9152307344464	2964.208510207255	2024.7335045081513	4146.955607540609	2476.8220067345574	1047.484670587973	1338.3542838240269	2053.737706531477	1565.7135382255967	2026.2944269723125	1828.17388907661	2291.634892313566	2210.726814422574	4298.999185476535	4112.732250034684	2723.704890783918	1466.606282940779	2064.5411553638614	5234.874583754304	2465.606869523617	940.2097751897284	2191.7485893423636	1008.7289479575402	1840.2965684272447	1169.3079108892878	1123.2854410996313	1520.491615180936	1207.9835101724977	803.9395034111241	1604.603377107954	1282.9663310869987	1195.1693764878103	1507.9271514591499	2734.9313074494908	3268.4762386875723	1013.2827131540168	1253.1250909689966	2688.907092508506	1060.5573879505255	1406.5566694244708	662.8000516735494	1409.134599696185	1678.5519109271233	939.5775365800158	916.1559637135911	1690.8773311707016	904.0291174721427	722.4244926473465	856.7969977166492	1326.089465993509	1494.4740817613215	1487.7688698186748	905.0485182864593	2491.381071767827	2875.221781601697	1139.8519456870888	1373.390809869131	995.2400727785669	1410.4690995987226	2176.845323227821	1027.334461103142	724.5332399048729	2762.2151331328732	1888.9938816701822	2192.520387313179	891.265785551063	1570.3666795359036	2937.1408006590273	2965.5754111861834	1040.5808945603035	1616.3480894751954	1068.601903264133	754.8248730920633	1764.5112604714643	950.8410240672955	607.2770730329082	1763.9842425163656	896.9761726440263	962.8857234358009	1564.183550010337	2305.540233140982	1344.0164290797004	767.8924786170464	750.5455033128521	1899.1737005140808	770.5863118048368	797.967609466007	523.1241007482824	1546.5076298211557	1136.4298601288097	716.9244987859828	Cellular Processes;Transport and catabolism
Membrane transport	4851.55274214708	16761.836529355387	5788.1748983069665	12345.19385962783	12749.52529265737	11161.004463721449	5517.421386138369	11941.559622653971	18584.032724825167	14936.629654639088	6375.65960715017	10458.16911832006	6454.352693456471	13765.359684171	25493.9221270825	7100.375081176972	13750.21045117272	17228.03179210726	26460.46731689181	7437.89517508385	16460.56208364699	16494.56683627439	8657.67775031926	20075.72097444739	12757.03457531759	23345.2406075991	5246.8298882544095	16820.487894591668	47773.790356082805	46081.264404670095	9146.92556188783	13139.17254658763	27714.07715532239	28266.643835936302	6917.66223999242	8037.12469186998	4890.003223106996	4982.255416830891	6480.06065157008	9582.02941361432	5781.42581125601	6859.420754156608	5798.352986409591	4999.56285634588	12656.0058908172	8744.32303203058	5043.001547888344	5186.8928423551	10747.35581133694	9260.542093098698	13585.5754271792	53203.2064298385	10080.732697864769	10523.05528906472	7267.23117114626	11341.27016161922	9236.87298660884	6767.994406805727	8440.70671967842	7107.534474760891	24291.91326626233	13940.779397892602	15456.42221892222	9237.02012939749	8846.43066070425	9606.7243603753	11832.95020544078	26352.19723777271	8263.90973588144	6956.470862838789	7670.3794676908	12244.356628243431	5768.048523123996	27847.49439123972	7324.744497867139	8515.29772349584	6270.667814196111	17055.970963706823	6992.050052333075	8191.23772601131	15829.222235609031	7970.82076654718	14372.5984857966	31912.43087956297	40622.150256310604	14007.25299288507	13211.81137305665	16162.67687830896	16220.225788716349	21707.856025214518	15894.50681855399	10664.53586543209	24716.16560506188	12643.968984950108	16761.92726730463	29210.411996695093	25771.47829313869	13979.75569141607	11003.60376829245	7741.97885756376	7715.9184690599795	31102.44746270216	8643.348488754149	14109.34805228201	7100.858981208042	10691.373083741	16820.64871060154	6801.79904194055	6870.39969453177	6019.371923447396	8243.588725569849	11861.239668032118	4974.89354064826	36671.120418365696	11789.38032133315	8317.647204741541	15341.31182789673	36657.0814076569	13696.69982640738	10029.38033005014	6390.7041182795965	8073.660619566281	19857.66489244791	8780.53424625123	6542.6233021327425	24912.72641104717	6194.496783742067	5086.061411193488	6343.96767366578	6279.455279974147	13468.52996091676	16829.62649348498	7139.143316341439	7726.43025474157	40534.999268084095	6214.978080195069	9040.55188165566	7208.30021188512	6489.113853538381	33740.8999118339	5288.03787812279	4937.976220674334	34230.3672511408	14955.82952027291	10874.31347322856	9552.4671506464	24585.114594171202	10993.46917267672	43458.57248893101	7032.579176418796	9426.180017981911	7267.4553266723	8335.11595433294	24964.78228072568	10552.633870548969	8174.108745693651	22539.26676946488	7503.799341120094	5756.407209199657	19736.488092903193	42278.6532462381	6316.040277162911	6238.93514092571	5817.9830644453305	21474.46193508458	6568.01506576035	4351.563764158095	5356.132998227347	8993.44071855393	10736.50691879937	7872.50811987604	Environmental Information Processing;Membrane transport
Signal transduction	2095.6652974848726	5976.605915185907	2578.902817944932	5286.969962491804	5837.596903495902	4743.574140147057	2518.4282600341926	4491.110467930603	6240.037364608647	6836.224876343238	3232.0495156791276	4216.927589645895	3549.0387918520596	5594.55487247819	9088.656455958178	4694.588481368827	4332.6578370075	6891.724015386128	7569.5388433043545	4820.665995386971	5999.667056889813	7535.668554663325	4790.706625477796	7826.689546715161	6129.575711343215	8027.311192719105	2329.2997591764865	7086.78739189538	15822.535994920963	14985.62260479178	4665.695990843791	5693.792805647979	9263.205597267586	11225.175548024801	3294.7885306779945	3458.195536436337	2267.0532059146162	2560.8099451869753	2430.30816293562	3968.052054381694	2408.214762441752	3175.8432466388863	2959.5200220880743	2404.811118262079	5011.805130946868	4640.017798875003	2247.94704607123	1964.0149163174003	4603.62390025686	3642.090689663445	4827.98946638709	15170.250529383371	4702.913023500844	4296.816187797123	3377.3969822238614	4669.845046650322	4452.748901654331	3228.784282846549	3719.5699739794572	2330.273535426477	8608.407627889625	6201.4613350121035	6466.956979502658	3835.6011584418143	4663.063261796471	4602.256010082937	5024.802593151453	11027.174230290351	4010.7573335421216	3156.7857046890012	3481.6377350422404	5986.021157929355	4286.82572969158	10261.12080671482	2193.9115511448176	4183.830955945156	2811.297582148419	8192.614178697546	3264.0461964396286	4538.792414411554	5615.3869325624	4606.584375177586	7730.545934819557	12911.052341374198	13498.38905504534	5411.16957415465	5427.830020223604	6699.497687814349	6090.24653804365	8313.053833598706	6290.671299526669	4691.123895410959	8208.51828607257	8505.256466856155	9676.208286980329	10721.303855033453	7528.6983263152615	6025.082632379939	8760.649489075327	2808.8212759619523	3761.074216092421	12186.623756972216	4562.535414684152	5936.030294988304	3512.870564180342	4795.040670370688	6543.191937376187	3579.724002047644	3085.1360093855706	3638.4417773338882	3887.9952576699106	5033.37590643772	2804.968286455588	14134.781223374039	5484.496778480509	4194.537256749175	6236.709776593217	13960.247290816254	5488.892454654832	3714.349025894011	3053.4716505442175	3992.8331258880335	7616.676499545968	4070.035610986243	2888.55186861142	8851.291653484548	2973.126079155372	2692.5579555650515	2878.371948486299	3665.651419620842	6165.272768521754	6171.835101383721	3827.0655538648975	4121.8607862466	15214.313110402054	3101.0965498398273	3772.260527076112	3324.6978628210313	3107.9048980387906	10744.928212428826	2541.985204457492	2604.341907440184	13223.359309602143	6457.3451845169	5367.213000443907	4168.941905043524	8717.07458765374	5265.920054923144	14027.338673204631	3608.608012188329	4158.488516944242	3583.366525328311	3933.377833674179	8652.972966626408	4673.355218308926	3091.762411416125	8728.685264550737	3776.5998398091024	2980.2148698052442	7411.616835539553	13390.253561932566	2775.3322684374957	2642.4190949897848	2867.743259281085	8148.276931127844	2695.225431645412	2237.8630566482516	2407.0550787765173	3444.232115558821	4625.34093417391	3432.5657731813862	Environmental Information Processing;Signal transduction
Signaling molecules and interaction	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34797979797979794	0.0	0.0	0.722727272727273	0.26767676767676796	1.766666666666667	0.0	0.0	0.6691919191919201	0.0	0.0	0.0	0.0	0.0	0.6156565656565649	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45505050505050504	0.0	0.0	0.0	0.0	0.0	0.0	0.1606060606060606	0.0	0.0	0.0	0.535353535353535	0.0	0.0	0.0	0.0	0.0	1.766666666666667	0.0	0.0	0.0	0.0	0.0	4.12222222222223	0.0	0.0	2.168181818181818	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45505050505050504	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6156565656565649	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.40151515151515194	0.34797979797979794	0.0	0.48181818181818203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Environmental Information Processing;Signaling molecules and interaction
Folding, sorting and degradation	7980.250209231697	13305.557138800023	13084.548662887735	17075.81612069365	18947.97893541057	16052.33481360412	9079.535692840916	16567.217653127464	17923.5842844392	21711.21607084899	11826.872798720271	13963.059192284512	12029.442235243663	18829.86655538554	22424.163294037196	14854.060208883946	17115.421071544493	20807.158633560524	19001.847846246586	17087.2329971716	19136.431649626742	22856.521716627256	16917.69885878889	21791.48342490843	19293.39293944452	22434.98685028052	9366.236461376184	23884.90948729536	36350.28816536839	35819.400721008955	16836.226756734828	18211.251989729684	25029.86822923914	33021.12296796033	11919.011809709285	11875.074329415314	8229.643468609456	8976.096388000185	8563.044114271801	14877.85717473455	8761.592276394502	10639.661848541758	10476.620532526547	11178.345364445677	14888.362385241353	12497.579673807208	9197.19101057171	8737.28541927482	17458.532659271106	15095.879523693597	17837.036347197107	35603.31730711265	19086.31847266658	16201.049280150226	13525.090785691104	20415.333650368586	15152.84422903046	12017.374785552005	13969.641386725096	11165.49513145083	23503.583192493163	24525.45642648489	20237.649438378085	14967.862086173322	15714.785550841554	15672.75195321556	18668.440509806645	30820.488730467856	14143.710335234386	12314.08308237121	14322.886083484032	18227.40375573793	12984.765405480603	21941.951740506334	9150.0620658877	15857.49457852275	9836.556805536244	18970.140695854785	12451.555280637085	15551.540598483796	19844.577846362503	16278.091212268744	27301.83672682802	31776.78155863116	28181.83632517278	19153.491193142298	17245.6841065053	18548.09789551166	19390.74543399638	22672.688550215604	20863.47177226781	18003.799239578984	24067.822142045712	21660.66469838178	25397.69436233597	25375.64106041642	22080.96074790189	18550.232941531045	22686.44228334961	13401.114006931892	15134.002193165486	33067.79409398616	18782.732757221682	18838.211836370378	16874.02423899939	18064.455092270593	20991.322856679188	15495.80420318078	13535.9239868781	13766.232308619657	16366.941779106966	18270.817154101165	11356.220158111932	39242.09965688319	19866.77150217926	16926.997192469975	19052.602737979312	39179.60612509851	17126.280572750034	12410.727977929246	12067.250664788788	14468.586766240078	22470.90242442157	15895.026430426107	11765.694438841745	20669.759782885885	13461.91453319886	11998.503453192372	12170.809979366613	13241.848720267077	20663.047933184916	19860.49403139054	16188.278691983121	16000.926905689246	40266.69667895395	12482.24033998702	11691.112156883197	12051.75645952149	12537.622954050174	25985.011375017417	10193.822547758144	10466.16818750869	37448.92994737337	28345.692046297543	18660.759872142626	15093.201173088517	24490.984453099645	16201.55575126351	33845.08488721197	14055.657989057365	17626.752819121808	15123.008397088139	13986.886780150233	23387.952156651358	18236.666545532535	12116.173333681096	24508.714250938967	14224.96520784069	12225.921959475127	20080.46926728335	31065.314818356786	11907.641814461904	11826.129501669215	12040.8260449993	22988.56587378866	8849.223911531495	9321.191885751381	9252.07269961052	13315.614271224558	17510.731042796866	11745.333905387868	Genetic Information Processing;Folding, sorting and degradation
Replication and repair	14007.807692829758	22175.41555456178	24947.506689596346	28388.466804180014	35126.14322367008	28319.334531000295	16692.452598897304	31358.75848906599	28132.153871138195	38117.7398997978	21186.476261091157	23282.701209059058	23248.257326989286	33467.70969335816	36957.5191632369	27875.83414488025	32125.08781944384	31980.483378484358	43609.69960850708	30868.774968907328	32930.73373589514	35939.78386061594	30479.586502119255	32736.644702988928	34324.54161156437	35296.555231607395	17342.72398367777	42168.78808369784	51436.515644405954	54589.60165411917	31621.175606084853	32540.762539569427	39668.871668694606	45282.37225882245	20186.08841631804	19509.81392451956	15483.782090825067	19265.80409627388	18893.7301180498	27275.620836464146	17111.619951999593	20733.827345644902	21291.248768883845	19218.287227538538	24809.148320995904	20088.861700794543	20215.306479677045	20464.389347118602	36251.10218979105	32014.50980748131	31379.956333855265	46595.816342220285	35151.66091477887	29694.333646212555	23548.884386700145	51030.76265235943	28195.85599011229	23158.321158028855	25014.056898451803	24691.00685886218	38550.01684433522	43434.14116036385	32117.205119908085	33489.8989692693	28251.923444033466	29466.389640445403	39176.225663772544	52167.488481640845	29726.767060179463	21983.815089585656	24585.98219941375	28328.19426314012	24933.77980020167	36585.86439717121	20753.52254160547	28369.165841344184	21270.49636401611	32461.58825840391	27912.71081180546	32622.98655272395	34730.92162793349	30025.134335758798	44062.63602107833	51934.839740590985	45177.44948855318	33390.27340276061	33509.88257951457	35699.665582759306	31042.85084111794	34843.46193158587	36760.64805853285	40380.52888806474	38354.40782888879	36887.0461426778	42403.6986286234	39711.51229702233	35962.981913277705	34873.49232324845	42665.11128938561	31014.073044272514	25312.692799172342	45879.31971386937	32323.79756576327	29682.377641839932	28394.287095559663	28958.171218221243	33211.98385361373	27341.39932503729	24160.715699185097	24097.279684785786	28661.180751766584	28356.69952742915	19631.184034554484	51652.71248398238	38437.51891774081	29418.908275214693	28283.928249863864	50883.04418840459	28521.99264513638	23449.770746256352	21357.802576234255	25961.036756341204	33002.35597787182	26843.513881011364	21779.581601610418	34031.108212140636	23584.64322540717	20139.29818182627	21402.789503942	24046.07058793825	39353.0013529956	31210.104273376855	25804.212856528808	27003.351683474757	51487.09904516294	21843.19312938213	19938.81325810765	21917.79282652149	22460.433298954988	35758.38264701887	18414.81382619185	18543.90720233585	50202.54502766433	48652.16235176106	34437.33628146768	26500.394717976433	40057.69844198661	28164.745418228034	46303.862540983326	25919.379352838892	35053.61240064217	24856.741497845185	21797.016478494756	37802.93080060727	31807.551671005363	21224.059748379656	35256.04786026156	25620.503061893935	20834.792413617874	35533.92311197889	45982.85576614808	23372.476738348138	22196.216247097433	21116.365840293838	32663.081413802072	20300.22580132634	16695.7378400062	16670.619291620405	26491.758974281285	29219.064621579742	19946.488680127677	Genetic Information Processing;Replication and repair
