d__Bacteria;p__Firmicutes,1894633.0
d__Bacteria;p__Proteobacteria,731708.0
d__Bacteria;p__Actinobacteriota,565231.0
d__Bacteria;p__Bacteroidota,292248.0
d__Bacteria;p__Verrucomicrobiota,181528.0
d__Archaea;p__Euryarchaeota,16486.0
d__Bacteria;p__Desulfobacterota,8244.0
d__Bacteria;p__Fusobacteriota,7866.0
d__Bacteria;p__Patescibacteria,2685.0
d__Bacteria;p__Synergistota,796.0
d__Bacteria;p__Campilobacterota,59.0
