"OTUID"	"Taxonomy"	"SUM_Abundance"
"e935202d09ec0b95cf196ef304eff2d7"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f___Eubacterium__coprostanoligenes_group;g___Eubacterium__coprostanoligenes_group;s__human_gut"	1373
"95a0547d2da7b3875152e9552068472e"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae"	287
"fd16e2a7aedd63eb644f34cdafbcdbef"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Incertae_Sedis"	45
"a811fb6074cf502cd952c8454231703c"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae"	23
"23e9d9bf5bc94d9f4dc80200700d5f34"	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae"	1135
"23795146c629d52e2d5553a80fa7b80f"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae"	26
"897863ad13a7fdccd58e1bdc240eb6b1"	"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides"	77
"77c6095e07a9d63f43cd08703ed630e3"	"d__Bacteria;p__Firmicutes;c__Clostridia"	34
"689af271b822f0aacf28c2da4f43cb3c"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia"	208
"da23d1b8708dd4ae719211bfb3e85615"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae"	110
"e9721dfc0b3e8380dd5b74ce38cb28f2"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae"	54
"2c59d1be9dfad048bd3dd965ec4a22bd"	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Curvibacter"	31
"7a2875fa2779432a85bc2663b1cd0ed3"	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia_Shigella"	479
"74e3e814e1b66126889ed6540862937d"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g___Ruminococcus__gauvreauii_group;s__bacterium_ic1296"	288
"e064f5786eb215ae132653239c1d3e93"	"d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__CHKCI002;s__Coriobacteriaceae_bacterium"	50
"4f4dc2dd2346da78f142aef341b5ea95"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenellaceae_R_7_group"	31
"4fa98e143def3bddbf0b9dc55d84a7f3"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales"	52
"740d09abbcc14ebc01f9e3b2a6062a06"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter"	547
"e0cff8bc39aa6eedb1bd6ab5310608f2"	"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium"	757
"2a0606dbf093373318c6ef16ea5a9a26"	"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides"	56
"490f03874debba1a6082c2e3692194e4"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__UCG_010;g__UCG_010"	155
"16b6ea483c9ec4fa4226d14761f98610"	"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes"	370
"30e1106a64f25b28a32188084c38a607"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae"	25
"1799bb6fa3baa5becf58a1b7909fe4e0"	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus"	128
"5f363cf9bee0de91b5982cd7c09b25d3"	"d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio"	26
"d6df8b3343d664729ab2d175dca81948"	"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium"	127
"cb8eec368dba976f0a24de3b0c9d262a"	"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces"	53
"d064ff5b9dcd8d9993232598a698a027"	"d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio"	359
"dd6c7f919d2d11f62436f26fa75b147d"	"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae"	30
"e665d8838b433fc9698778c0817bb6fd"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales_Tissierellales;f__Anaerovoracaceae;g__Family_XIII_AD3011_group"	45
"2bcd6417e5d4fcc68ab93ae8ca3f6660"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae"	28
"427ba0ce3ac8cdfbcbedebfcd444278f"	"d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Slackia;s__Slackia_piriformis"	479
"69809694b9f99be984b8341ef01084e2"	"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_fragilis"	1205
"3e96cab439013c80a2a42c21711b2aa8"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Incertae_Sedis"	205
"10635b6dc248b6c892ee716586b9aaa8"	"d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales_Selenomonadales;f__Veillonellaceae;g__Anaeroglobus;s__Anaeroglobus_geminatus"	1985
"7850aa8599e2bf9adc01c282adbe068d"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia"	438
"2f15b79bf3bfbbbbbafc36503e123db1"	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus"	160
"63719d66121cd4112b5d8b5d1bacd4b0"	"d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales_Selenomonadales;f__Veillonellaceae;g__Dialister;s__Dialister_pneumosintes"	57
"6c7b50075598142df95c7d7de8abb565"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__NK4A214_group"	1159
"c432be87cc63580c19fd0a78afa38a48"	"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_breve"	665
"8bddd04a4049be36af12d569cd79273f"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae"	69
"a636020522cd9afba294bf437d712b1f"	"d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia"	294
"1e41f84ab5b2ceccf754cd489f32f8d5"	"d__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium"	224
"49eea156a0f17d7ec89418207dacb52d"	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae"	66
"2005a1e1770a6a8a846c0003bf97b97f"	"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium"	6690
"713deddc215b157e5f8ff8bbbbf037b8"	"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides"	221
"681ec2d8054ba08b1ab98468fcf35c5a"	"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium"	189
"bc3107ac9b73a08b9fe57d40e9f08d4a"	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Erysipelotrichaceae;s__Faecalitalea_sp."	62
"6bfc304ab75c9cfcf437193c5b99778c"	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Morganella"	79
"9a95c71560de6fcbdcf11de54ae99c5c"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales_Tissierellales;f__Peptostreptococcaceae;g__Terrisporobacter"	93
"3b48fc0af1a82150fea1dab94712adfe"	"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella"	2236
"72ae07fa91400f61a02b2a5c5cc963e3"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g___Ruminococcus__gnavus_group"	43
