OTU	Kingdom	Phylum	Class	Order	Family	Genus	Species
3f3a0eaeea9c0690b6ede1b17b4fd8ce	Bacteria	 Actinobacteriota	 Actinobacteria	 Bifidobacteriales	 Bifidobacteriaceae	 Bifidobacterium
7b6d335d29fb8edf989ba7d03a848d84	Bacteria	 Firmicutes	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Roseburia
4608cf2aa614ad44e2e4c90e5145221e	Bacteria	 Firmicutes	 Clostridia	 Monoglobales	 Monoglobaceae	 Monoglobus
af2150fef76b295092cd60a788cbe500	Bacteria	 Firmicutes	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Blautia
26639d9f66c6c2106996b1c162605ff8	Archaea	 Euryarchaeota	 Methanobacteria	 Methanobacteriales	 Methanobacteriaceae	 Methanobrevibacter
b6635d67cb594473ddba9f8cfba5d13d	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Bacteroidaceae	 Bacteroides	 Bacteroides_vulgatus
409f711b59152d57926cf444c5577087	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Streptococcaceae	 Streptococcus	 Streptococcus_salivarius
a822eed692bc6f11f3e7a953ac0a23e4	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Lactobacillaceae	 Lactobacillus
93b58b0ba0d326e9c8d1a81f8672c16a	Bacteria	 Firmicutes	 Clostridia	 Lachnospirales	 Lachnospiraceae	 [Ruminococcus]_torques_group
9b23053de8f4269fe6b5ce286dfbef3c	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Lactobacillaceae	 Lactobacillus
c9af95666dd42b017e3428deea528acc	Bacteria	 Firmicutes	 Clostridia	 Oscillospirales	 Ruminococcaceae	 Subdoligranulum
ca60f9527111263bca48622331f2b3f6	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Rikenellaceae	 Alistipes
8d478879084ed7c88660c8b0c4b24923	Bacteria	 Firmicutes	 Clostridia	 Oscillospirales	 Ruminococcaceae
410d0c451236e9de4b03a9e2c208bf7b	Bacteria	 Firmicutes	 Clostridia	 Oscillospirales	 Ruminococcaceae	 Subdoligranulum
9df251784dde31e05f02b2ee1029d71c	Bacteria	 Firmicutes	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Fusicatenibacter
8462d04767d035222ad64d5b86c8651c	Bacteria	 Firmicutes	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Blautia
7cd4efa29b942711d9a324e442bd9268	Bacteria	 Firmicutes	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Lachnoclostridium
734dcd020504800d8042434e28b57298	Bacteria	 Firmicutes	 Clostridia	 Oscillospirales	 Ruminococcaceae	 Faecalibacterium
005f6924cead40b2bf8605a49f78bcd2	Bacteria	 Firmicutes	 Clostridia	 Oscillospirales	 Ruminococcaceae	 Subdoligranulum
9243bc95f3bb4eba8fabc522fa335a7f	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Bacteroidaceae	 Bacteroides
8e121f6e82f82d6e7e2f831b9ce9e75c	Bacteria	 Firmicutes	 Clostridia	 Oscillospirales	 [Eubacterium]_coprostanoligenes_group	 [Eubacterium]_coprostanoligenes_group
306886ee9ce96025a0bbd408093905f6	Bacteria	 Firmicutes	 Clostridia	 Oscillospirales	 Ruminococcaceae	 Subdoligranulum
41388070b02a7c162aa7245ce4812ebd	Bacteria	 Actinobacteriota	 Actinobacteria	 Bifidobacteriales	 Bifidobacteriaceae	 Bifidobacterium	 Bifidobacterium_longum
a1b97046d3d7d7b1e7f0ffdb5c1eb030	Bacteria	 Firmicutes	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Blautia
c5be3cbb0c4c3ad43d1c9902233d0993	Bacteria	 Firmicutes	 Bacilli	 Erysipelotrichales	 Erysipelatoclostridiaceae	 Erysipelotrichaceae_UCG-003
67adfb49b9ae95af2982870204819dcc	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	 Enterobacteriaceae
fb7a1c0b3625f00ee42dbfcbaa001f12	Bacteria	 Firmicutes	 Negativicutes	 Acidaminococcales	 Acidaminococcaceae	 Phascolarctobacterium
ea13d2899c81e7e9252ca1e8988aa8cc	Bacteria	 Firmicutes	 Clostridia	 Oscillospirales	 [Eubacterium]_coprostanoligenes_group	 [Eubacterium]_coprostanoligenes_group	 gut_metagenome
107a063d5a18c159014ad49b5f213925	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	 Enterobacteriaceae	 Escherichia-Shigella
2eedf896e95f02090d22dd3e68742ce7	Bacteria	 Firmicutes	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Blautia
98fcc7e4135d41152d2db711de5c1255	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Bacteroidaceae	 Bacteroides
fb2e43a3fe8a2da6f9832efdaa5b412e	Bacteria	 Firmicutes	 Clostridia	 Christensenellales	 Christensenellaceae	 Christensenellaceae_R-7_group
eccb98a9114be3dd20d5c23110759103	Bacteria	 Firmicutes	 Clostridia	 Oscillospirales	 Ruminococcaceae	 Faecalibacterium	 uncultured_bacterium
494e65560668c776b1b9e745b349c50d	Bacteria	 Firmicutes	 Clostridia	 Oscillospirales	 Oscillospiraceae	 UCG-002
db92d5e78fb94056efc409ace74df645	Bacteria	 Firmicutes	 Negativicutes	 Veillonellales-Selenomonadales	 Veillonellaceae	 Megasphaera
2ddcd7316b3e6cd6fa4e85ea4e0fe231	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	 Enterobacteriaceae	 Enterobacter
34f6a9f2891692941ec6fdb0095c4012	Bacteria	 Firmicutes	 Clostridia	 Oscillospirales	 [Eubacterium]_coprostanoligenes_group	 [Eubacterium]_coprostanoligenes_group	 human_gut
31c7bc067538dcf7916e8b7cbefa44e5	Bacteria	 Firmicutes	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Anaerostipes
bb35a35e317aeaf3cdd5bef973af2498	Bacteria	 Firmicutes	 Clostridia	 Lachnospirales	 Lachnospiraceae	 [Ruminococcus]_torques_group
d91b5c77b23b27230a16c7dc4325f4cd	Bacteria	 Firmicutes	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Roseburia
5d58f5db4dc73c0bace060a2edcc14da	Bacteria	 Firmicutes	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Agathobacter
4d6fe682a4dd9aad8decfab830a193e0	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Tannerellaceae	 Parabacteroides	 Parabacteroides_merdae
2005a1e1770a6a8a846c0003bf97b97f	Bacteria	 Actinobacteriota	 Actinobacteria	 Corynebacteriales	 Corynebacteriaceae	 Corynebacterium
077d45c6b7641fc08e649fac13b62a9d	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	 Enterobacteriaceae
224d266b147588a000917723c0268775	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Rikenellaceae	 Alistipes
7440aa816171ce9e81d9b67d2dda61c6	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Bacteroidaceae	 Bacteroides
57378dc53db0a0dd8a8a0d3b4ea0ac5e	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	 Enterobacteriaceae
47f3d645d96038371757074de1d8fb8d	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Bacteroidaceae	 Bacteroides	 Bacteroides_fragilis
875f9ef9a121a3002ea097444690a20a	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Clostridiaceae	 Clostridium_sensu_stricto_1
3a893286e7a8c6965a9be85b7ec43c60	Bacteria	 Firmicutes	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Roseburia
6b6d13f1332283e053c18c3b7774b85c	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Prevotellaceae	 Prevotella
a9d3f0bd5ca203b5354a332eca91a33c	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	 Enterobacteriaceae	 Klebsiella
d6d70ee8797863743fabbeb5a35dd21d	Bacteria	 Firmicutes	 Clostridia	 Christensenellales	 Christensenellaceae	 Christensenellaceae_R-7_group	 human_gut
c443639930126532afd3fa2d16944b76	Bacteria	 Actinobacteriota	 Coriobacteriia	 Coriobacteriales	 Coriobacteriaceae	 Collinsella
707940842caa2afe60491008e04a8173	Bacteria	 Firmicutes	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Lachnospiraceae_NK4A136_group
32dfb2ca0b726df5e8b03be6cb6a3e65	Bacteria	 Firmicutes	 Negativicutes	 Acidaminococcales	 Acidaminococcaceae	 Acidaminococcus	 Acidaminococcus_sp.
bc9350a59b80d8d6ba12aa3b47ef571d	Bacteria	 Firmicutes	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Coprococcus
25af29e1b2d121f8aae468d270d75518	Bacteria	 Firmicutes	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Roseburia
9eaff8c3aca7b74962decea682803d9c	Bacteria	 Firmicutes	 Clostridia	 Peptostreptococcales-Tissierellales	 Peptostreptococcaceae	 Intestinibacter
9039275571577e03e38d718f59db0e1f	Bacteria	 Fusobacteriota	 Fusobacteriia	 Fusobacteriales	 Fusobacteriaceae	 Cetobacterium	 uncultured_bacterium
ad89a9d5fec4408fafb73e7225f44d08	Bacteria	 Firmicutes	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Dorea
218f40f443caf002f5ad5aa59ee08859	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Tannerellaceae	 Parabacteroides
062df6f7cd3a48247d2a4658df79a4db	Bacteria	 Firmicutes	 Clostridia	 Lachnospirales	 Lachnospiraceae
