	W	Reject null hypothesis
d__Bacteria;p__Verrucomicrobiota	10	True
d__Bacteria;p__Actinobacteriota	5	False
d__Bacteria;p__Firmicutes	4	False
d__Bacteria;p__Campilobacterota	3	False
d__Bacteria;p__Bacteroidota	2	False
d__Bacteria;p__Fusobacteriota	2	False
d__Bacteria;p__Patescibacteria	2	False
d__Bacteria;p__Synergistota	2	False
d__Archaea;p__Euryarchaeota	1	False
d__Bacteria;p__Desulfobacterota	1	False
d__Bacteria;p__Proteobacteria	1	False
