#OTU ID	AD01	AD04	AD05	AD07	AD08	AD09	AD10	AD100	AD101	AD102	AD103	AD104	AD105	AD106	AD107	AD108	AD109	AD11	AD110	AD111	AD112	AD113	AD114	AD116	AD118	AD119	AD12	AD120	AD121	AD122	AD123	AD125	AD126	AD127	AD13	AD14	AD16	AD17	AD18	AD19	AD20	AD21	AD22	AD23	AD24	AD25	AD26	AD27	AD29	AD30	AD31	AD32	AD33	AD34	AD35	AD36	AD37	AD40	AD41	AD47	AD50	AD53	AD54	AD55	AD58	AD59	AD60	AD61	AD62	AD63	AD64	AD65	AD66	AD67	AD68	AD69	AD70	AD71	AD74	AD75	AD76	AD77	AD78	AD79	AD80	AD83	AD84	AD85	AD86	AD88	AD89	AD90	AD91	AD92	AD93	AD94	AD96	AD97	AD98	AD99	C01	C02	C03	C05	C07	C08	C09	C10	C11	C12	C13	C15	C16	C17	C18	C19	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C30	C31	C32	C33	C34	C35	C36	C39	C40	C42	C43	C44	C46	C49	C50	C51	C52	C54	C55	C57	C58	C59	C60	C61	C62	C63	C64	C71	C72	C73	C74	C75	C76	C77	C78	C79	C80	C81	C82	C83	C84	C85	C86	C87	C88
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptococcaceae|g__Peptococcus	0.0006437373551590951	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00017750428968700077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000802149761360446	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003477051460361613	0.0	0.0	0.0001325556733828208	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00018975332068311195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010284841910730787	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013629394059855755	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003922953199168334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004885197850512946	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Clostridium	0.0017472871068604009	0.0010005002501250625	0.00031302170283806343	0.0	0.0	0.011955509824097212	0.005135387488328665	0.04395830758455897	0.02010335623828724	0.00034610059990770653	0.00027764281252169086	0.03159576356428614	0.005278936392075078	0.007144050802139037	0.0	0.0022725120727203865	0.0	0.00041474654377880184	0.0	0.0	0.0175945601359966	0.0002527805864509606	0.02119442784239805	0.0012342748635176834	0.01608419380460683	0.011189099917423617	0.0009126169290440338	0.043872045220966084	0.0010550262108074248	0.030325372655874337	0.0010802276787569072	0.0	0.00047545465351242125	0.0024098021246987747	0.0	0.0	0.0	0.0018367882445552348	0.006964091403699674	0.006688639007367197	0.00044381980915748204	0.0	0.00256287996185481	0.0006142506142506142	0.0	0.008421773365285861	0.00031527839081909323	0.00047404598246029864	0.00014607069821793748	0.003980891719745223	0.0	0.00014894250819183795	0.0009996297667530544	0.002983241203825568	0.0033340742387197157	0.00010220246307936021	0.0	0.0035567097611923447	0.019099947671376242	0.0	0.046467729627695895	0.0030311056178452664	0.0	0.0	0.0	0.022046174739701222	0.00012630249447426588	0.00024715768660405336	0.00030751658393006194	0.00023723385327086176	0.00397451951870202	0.0	0.0072290409819013935	0.0	0.0	0.0021408182683158895	0.00101142313184198	0.0	0.001965647961810268	0.002960206368672559	0.0016743563030212829	0.0	0.0004515437150759158	0.00033942411042597724	0.00014534883720930232	0.0	0.020613373554550025	0.0062441461130190445	0.0016668859937711102	0.0010588831085124994	0.0	0.0007003968915718907	0.0044721666470519	0.0	0.048880033422245076	0.0010083609932355782	0.008208798147758366	0.0	0.0	0.0	0.0032800541469256	0.00707386750102027	0.0014037620823807804	0.0020034057898427327	0.0027219044104078243	0.004531508142553694	0.003656228492773572	0.0482432629988792	0.009390435868208218	0.0033237072958099494	0.0034710821333083165	0.008024022841390175	0.0004867872044506259	0.00018624864193698588	0.012970742132802712	0.011399787910922587	0.00025810448069378485	0.0008846481943698461	0.02918142365441213	0.0	0.0015857526225908757	0.0010902294673450317	0.0	0.004558517490833416	0.005186232909005186	0.0005120852109791069	0.016650992974497982	0.003463146889702039	0.04818453121114151	0.0029716907356237944	0.0009453952730236349	0.0011385199240986717	0.0016948282060500232	0.005975412646324142	0.005197505197505198	0.0	0.0006567904838356564	0.0050841302505749905	0.00047351287363125186	0.0006660323501427212	0.0047376093294460644	0.0	0.006694955209806695	0.002176929984489374	0.0011243909548994296	0.014980328861091496	0.04305113032923684	0.00026785235977928965	0.0003784151971543177	0.005500495540138752	0.005787574577542782	0.004490777866880513	0.0	0.1754710011082379	0.03109557671447511	0.03808154077038519	0.12018960015017834	0.002193765624202847	0.0	0.06451182642717411	0.005795208749948986	0.009968433294567204	0.007437536316095294	0.013395348837209302	0.009373251259093452	0.0	0.002456418383518225	0.0012528384621407877	0.025249817206921765	0.003764351590438547	0.005716230010207554
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00017792538995314633	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007460830639144492	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002828854314002829	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003232360546730698	0.0	0.0	0.0	0.0008673026886383347	0.0	0.0	0.0007754152552748643	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__[Clostridium]	0.0	0.0	0.0	0.0	0.0	0.0024988975452006467	0.0	0.0	0.017661423135896418	0.0	0.0	0.0	0.0007168925964546402	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005516987724702312	0.003133159268929504	0.0	0.0	0.0	0.00035328879753340184	0.0	0.0007052412245552172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005269320843091335	0.0	0.0	0.0	0.0	0.0005447536037546095	0.0	0.0	0.000518326545723806	0.0	0.0	0.0	0.0	0.002709874103765596	0.0031920460491889065	0.0	0.003092493674444757	0.0	0.0	0.0	0.0	0.0005432322317790856	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003490713806220631	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0033004772311672095	0.0	0.0	0.0	0.0	0.0	0.0002835672763363108	0.007552141915994472	0.0007982857863114996	0.10313618185645128	0.0	0.00015314873805439844	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003799598328176736	0.0	0.0005159716684647498	0.0	0.0	0.0	0.0002579408946864176	0.0	0.0	0.0	0.004838629221329875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007703764572954651	0.0	0.0	0.0	0.0	0.0007868296816366057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00037840565085771945	0.0	0.0	0.0	0.0	0.0005101780521401969	0.0	0.0	0.0017956984858996858	0.0	0.0038349796629866357	0.004155038759689923	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|__	0.1688431120102998	0.03330236546844851	0.004956176961602671	0.1455071894783334	0.007473401317969297	0.08800039198392866	0.3865546218487395	0.028838627281341407	0.035663581123289226	0.015074603907091217	0.009717498438259179	0.06017395420389326	0.029653284671532845	0.002381350267379679	0.03465080926406152	0.09511409904365117	0.011653397946232838	0.07442396313364055	0.0	0.037826926452518866	0.000254993625159371	0.03665318503538928	0.06785894901383845	0.006123902207453121	0.09003177124702144	0.016845582163501238	0.028671381854133395	0.0401464542651593	0.023836998450430254	0.02170219586472191	0.08945116124475466	0.3409017059301381	0.0	0.032311712995961035	0.04019437695244707	0.06415897799858056	0.009350475872432793	0.009315140383101548	0.001958650707290533	0.047208220240403255	0.01427620386123234	0.029558163829656488	0.017999761592561687	0.06156156156156156	0.0	0.00013693940431359124	0.02150198625386216	0.0	0.046231375985977215	0.09801374455246396	0.013388218367836303	0.0	0.33554239170677524	0.5108361849609546	0.24027561680373416	0.0	0.1638640102357887	0.10337040591655847	0.41721611721611723	0.00047154982709839675	0.029197959757419976	0.4732056149024455	0.07608414518492973	0.0005014271387796035	0.013556618819776715	0.1797193300135808	0.024123776444584782	0.0030482781347833253	0.008610464350041735	0.2158828064764842	0.20564055098818534	0.05781265521009238	0.013001872269606824	0.0	0.0	0.08729781160799238	0.037244169443122324	0.0	0.009921842092947069	0.005116928151562566	0.3858461080517934	0.01253658536585366	0.08946209854941582	0.01776319511229281	0.007303779069767442	0.4574663283232481	0.01809954751131222	0.028901476294545293	0.07264113699170943	0.02762303761336955	0.0074082388595802	0.06076776840209452	0.030873641677454787	0.0009215936480930101	0.007005816756114021	0.036847191294483425	0.0036623868659229637	0.0068306583413652935	0.0031854937515314874	0.00012163477132662991	0.030301452595407924	0.08046524282410557	0.19692776641398949	0.002804768105779826	0.03889093928769145	0.08076469199905593	0.00524776324845148	0.07080551630037522	0.012050154697931933	0.15763090502915056	0.05750738777616211	0.016934134094713005	0.10820584144645341	0.011826788762998603	0.01459208489940305	0.03362495581477554	0.22800949824488953	0.007803860857476857	0.052626328128897094	0.2341528079055194	0.11313735057331056	0.021545010902294673	0.1194242619332291	0.10345852740065405	0.4453088165959453	0.06667349446947972	0.19704597001714885	0.062140616832200735	0.010507336483461825	0.04400187685730671	0.017538712306438466	0.015370018975332068	0.042730214164655125	0.033256599892246656	0.002598752598752599	0.0760915770935811	0.062249142523534993	0.2362304805713594	0.036756436815625924	0.03163653663177926	0.10349854227405247	0.13209545326179045	0.004494735187804495	0.03910310484639038	0.001290967392662308	0.3314839100171492	0.3605674404490973	0.002357100766057749	0.015212290925603573	0.09187314172447968	0.05065914043799793	0.07329591018444266	0.009460141271442986	0.0003694126339120798	0.11393676429231449	0.10042521260630315	0.0007039609536324385	0.24860976480791797	0.1465080971659919	0.0005335230304108127	0.0	0.0029351498034003434	0.384369552585706	0.08421705426356589	0.0003264316358888267	0.0018560910722019428	0.13637083993660856	0.4218933521259103	0.00394833048988545	0.17555994729907773	0.10942497448111603
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__	0.10925142541842928	0.04230686771957407	0.0026085141903171953	0.039897924130146735	0.0003681478481758274	0.11524327502572394	0.07990974167444756	0.015861245004737776	0.00039752399341245955	0.003537917243501	0.013535087110432428	0.004555943435299687	0.008407194994786236	0.006976938502673797	0.01958329607439864	0.0053972161727109174	0.010038075458636206	0.012396313364055299	0.0	0.06174302264349658	0.0029324266893327668	0.0425092686215032	0.02105650314928049	0.009446949916923807	0.10234312946783161	0.00041288191577208916	0.06684919005247547	0.07383735868448099	0.004945435363159803	0.0006090719666613239	0.01823922888362624	0.0009748172217709179	0.01949364079400927	0.037911957370261005	0.03776466504685873	0.0	0.034062447821005176	0.0042639727105746525	0.029162132752992384	0.050843350135711514	0.02048968118943709	0.00030725742026669944	0.034449874836094886	0.011943761943761944	0.0	0.0	0.06034428400277445	0.0	0.09070990359333918	0.015043580288300369	0.010550715370473984	0.0	0.011810440577563865	0.026717557251908396	0.026116914869971104	0.0008942715519444018	0.07594589654542132	0.0466324168689663	0.060230245944531656	0.0	0.01305273304148761	0.020128895559283128	0.06767824812483834	0.0020442798734860755	0.020499108734402853	0.022317790855590765	0.01411430375749921	0.0023891909705058495	0.00443702499670518	0.05100527845323528	0.061305602439157184	0.06625608423562133	0.010245475348450177	0.00017901096442157082	0.0	0.06669838249286394	0.010887672536887197	0.0	0.004352506201151308	0.002072144458070791	0.002976633427593392	0.013073170731707317	0.041626686233560986	0.0005091361656389659	0.013444767441860465	0.03310560218621901	0.01939835763365175	0.054993086838232015	0.007895775759968417	0.035725795313291286	0.004415011037527594	0.014574925791281727	0.00906202189007885	0.00031901318587834965	0.00044991483754860685	0.004201504138481576	0.00012628920227320564	0.0034781879897749653	0.008178142612104877	0.0	0.06351850887697194	0.00017004489185144879	0.1028757068944772	0.002704597816287689	0.013102048348403764	0.031720556997875855	0.0018066070199587061	0.030846449978071244	0.007110676871302177	0.12210537786737863	0.05502134246446831	0.20340651767254112	0.03643949930458971	0.0057116250194009	0.00022109219544550078	0.03353658536585366	0.005936403055957051	0.00022116204859246152	0.009427844565271612	0.054470956857073996	0.029763356916321055	0.20833765964074344	0.0013795640577577485	0.024923198890100088	0.03371051390853371	0.0008705448586644818	0.04967638435581125	0.04521693674856247	0.0006217358865953743	0.11292424795370419	0.010334148329258355	0.008823529411764706	0.025165630938318525	0.06969682127638732	0.00019490644490644492	0.0637031639035647	0.07947164854411443	0.05622805955695436	0.010535661438295353	0.0	0.06137026239067055	0.09051115504094888	0.0004714757190004715	0.009279164058885956	0.025319618539957522	0.009835569454251993	0.004779244424214839	0.00283923501366047	0.0013622947097555438	0.09459861248761149	0.0042156407416669645	0.006415396952686447	0.005108476286579213	0.0	0.02952874532963722	0.0060655327663831915	0.0	0.11234120708127136	0.025556680161943318	0.0	0.0013059625351997714	0.0009968433294567204	0.048925043579314355	0.10697674418604651	0.0	0.0	0.06521394611727417	0.02529167645446715	0.005410675115768949	0.039572746094485224	0.06417148690030623
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerofilum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001263902932254803	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007328217949823261	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.312432096849294e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004692143266774412	0.0	0.0	0.0	0.0	0.0	0.0	0.00021893016127855214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004562043795620438	0.0001253342245989305	0.004381650719842619	0.005160496165135877	0.00015384023691396485	0.0	0.0	0.0	0.0	8.426019548365353e-05	0.00041377407935267347	0.0009019700925706148	7.942811755361398e-05	0.0	0.0	0.0001605858170606372	0.0	0.0	0.0001661888736549088	0.0	0.0	0.0	0.0052065255119750084	0.0	0.0	0.0	0.0	0.0004362155874369911	0.00044381980915748204	0.0	0.0	0.0	0.0	0.0	0.0003783340689829119	0.0	0.00018258837277242187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00013708645585816122	0.0002258228419804663	0.0	0.0	8.032451102453914e-05	0.0	0.000689714630571601	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011920135094864408	0.001040149781568546	0.0	0.0	0.0005233111322549952	0.0	0.0	0.00318247765245472	0.0003383092992768639	0.0002604554249144218	0.007902439024390244	0.00016932889315346842	0.0	0.00025436046511627907	0.0	0.00041897100720630134	0.007314571160965166	0.0	0.0004603839602228258	0.001421783215474988	0.00046693126104792716	0.004550625711035267	7.08918190840777e-05	0.0003856412893273773	0.003235158186630814	0.0	0.0015505175376105268	0.000490075961774075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002953628039775524	0.0004867872044506259	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002946723243752947	0.0	0.0	0.0005880815473078934	0.0	0.0	0.0	0.0	0.0	0.0002938727530979086	0.0	0.0	0.0	0.0003631521607553565	0.0	0.0	0.0	0.0	0.001885902876001886	0.00013605812403058587	0.0	0.0	0.0	0.0	0.0	0.0	0.0024293522918080812	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00047543581616481777	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Bacteroides	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007827627404935525	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0023257855011409516	0.0	0.0	0.0	0.0	0.0007545671167593328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.47268708556994e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00026190743442960305	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001326462935564512	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
