Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR11825865_1	SRR11825865_1.fastq	Conventional base calls	Sanger / Illumina 1.9	42257.0	0.0	297.0	53.0	10.582862011027759	297.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825865_2	SRR11825865_2.fastq	Conventional base calls	Sanger / Illumina 1.9	42257.0	0.0	299.0	53.0	18.418250230731005	299.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825866_1	SRR11825866_1.fastq	Conventional base calls	Sanger / Illumina 1.9	57967.0	0.0	298.0	52.0	10.944157882933393	298.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825866_2	SRR11825866_2.fastq	Conventional base calls	Sanger / Illumina 1.9	57967.0	0.0	301.0	53.0	27.025721531216035	301.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825867_1	SRR11825867_1.fastq	Conventional base calls	Sanger / Illumina 1.9	44916.0	0.0	295.0	55.0	7.716626591860362	295.0	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825867_2	SRR11825867_2.fastq	Conventional base calls	Sanger / Illumina 1.9	44916.0	0.0	295.0	55.0	21.152818594710126	295.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825868_1	SRR11825868_1.fastq	Conventional base calls	Sanger / Illumina 1.9	51131.0	0.0	296.0	53.0	12.090512604877667	296.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825868_2	SRR11825868_2.fastq	Conventional base calls	Sanger / Illumina 1.9	51131.0	0.0	298.0	53.0	26.594433905067376	298.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825869_1	SRR11825869_1.fastq	Conventional base calls	Sanger / Illumina 1.9	45539.0	0.0	297.0	53.0	11.03888974285777	297.0	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
SRR11825869_2	SRR11825869_2.fastq	Conventional base calls	Sanger / Illumina 1.9	45539.0	0.0	299.0	53.0	19.74790838621841	299.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825870_1	SRR11825870_1.fastq	Conventional base calls	Sanger / Illumina 1.9	53923.0	0.0	298.0	55.0	10.993453628321866	298.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825870_2	SRR11825870_2.fastq	Conventional base calls	Sanger / Illumina 1.9	53923.0	0.0	301.0	55.0	28.110453795226526	301.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825871_1	SRR11825871_1.fastq	Conventional base calls	Sanger / Illumina 1.9	55596.0	0.0	295.0	52.0	9.95035614072955	295.0	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825871_2	SRR11825871_2.fastq	Conventional base calls	Sanger / Illumina 1.9	55596.0	0.0	295.0	53.0	23.55924886682495	295.0	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825872_1	SRR11825872_1.fastq	Conventional base calls	Sanger / Illumina 1.9	59158.0	0.0	296.0	53.0	10.015551573751647	296.0	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
SRR11825872_2	SRR11825872_2.fastq	Conventional base calls	Sanger / Illumina 1.9	59158.0	0.0	298.0	53.0	23.477805199634876	298.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825873_1	SRR11825873_1.fastq	Conventional base calls	Sanger / Illumina 1.9	30343.0	0.0	297.0	55.0	13.479220907622846	297.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825873_2	SRR11825873_2.fastq	Conventional base calls	Sanger / Illumina 1.9	30343.0	0.0	299.0	56.0	22.970701644530862	299.0	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825874_1	SRR11825874_1.fastq	Conventional base calls	Sanger / Illumina 1.9	45036.0	0.0	297.0	56.0	10.593747224442668	297.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825874_2	SRR11825874_2.fastq	Conventional base calls	Sanger / Illumina 1.9	45036.0	0.0	299.0	55.0	20.217159605648817	299.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825875_1	SRR11825875_1.fastq	Conventional base calls	Sanger / Illumina 1.9	69264.0	0.0	298.0	54.0	10.2491914991915	298.0	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
SRR11825875_2	SRR11825875_2.fastq	Conventional base calls	Sanger / Illumina 1.9	69264.0	0.0	301.0	54.0	26.367232617232617	301.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825876_1	SRR11825876_1.fastq	Conventional base calls	Sanger / Illumina 1.9	55988.0	0.0	295.0	54.0	6.9372008287490186	295.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825876_2	SRR11825876_2.fastq	Conventional base calls	Sanger / Illumina 1.9	55988.0	0.0	295.0	56.0	19.345216832178323	295.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825877_1	SRR11825877_1.fastq	Conventional base calls	Sanger / Illumina 1.9	55814.0	0.0	296.0	54.0	10.334324721396065	296.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825877_2	SRR11825877_2.fastq	Conventional base calls	Sanger / Illumina 1.9	55814.0	0.0	298.0	54.0	23.705521912065073	298.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825878_1	SRR11825878_1.fastq	Conventional base calls	Sanger / Illumina 1.9	56805.0	0.0	297.0	54.0	12.86330428659449	297.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825878_2	SRR11825878_2.fastq	Conventional base calls	Sanger / Illumina 1.9	56805.0	0.0	299.0	54.0	21.033359739459552	299.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825879_1	SRR11825879_1.fastq	Conventional base calls	Sanger / Illumina 1.9	71073.0	0.0	298.0	53.0	10.952119651625793	298.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825879_2	SRR11825879_2.fastq	Conventional base calls	Sanger / Illumina 1.9	71073.0	0.0	301.0	53.0	26.457304461609894	301.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825880_1	SRR11825880_1.fastq	Conventional base calls	Sanger / Illumina 1.9	58072.0	0.0	295.0	54.0	6.8604490976718555	295.0	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825880_2	SRR11825880_2.fastq	Conventional base calls	Sanger / Illumina 1.9	58072.0	0.0	295.0	55.0	19.024659043945448	295.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825881_1	SRR11825881_1.fastq	Conventional base calls	Sanger / Illumina 1.9	50630.0	0.0	296.0	50.0	12.459016393442624	296.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825881_2	SRR11825881_2.fastq	Conventional base calls	Sanger / Illumina 1.9	50630.0	0.0	298.0	51.0	25.58364605964843	298.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825882_1	SRR11825882_1.fastq	Conventional base calls	Sanger / Illumina 1.9	52120.0	0.0	297.0	54.0	9.896392939370683	297.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825882_2	SRR11825882_2.fastq	Conventional base calls	Sanger / Illumina 1.9	52120.0	0.0	299.0	54.0	19.382194934765927	299.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825883_1	SRR11825883_1.fastq	Conventional base calls	Sanger / Illumina 1.9	69854.0	0.0	298.0	54.0	10.466115039940448	298.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825883_2	SRR11825883_2.fastq	Conventional base calls	Sanger / Illumina 1.9	69854.0	0.0	301.0	54.0	26.80447791107166	301.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825884_1	SRR11825884_1.fastq	Conventional base calls	Sanger / Illumina 1.9	44537.0	0.0	298.0	55.0	11.168242135752296	298.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825884_2	SRR11825884_2.fastq	Conventional base calls	Sanger / Illumina 1.9	44537.0	0.0	301.0	55.0	27.79037654085367	301.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825885_1	SRR11825885_1.fastq	Conventional base calls	Sanger / Illumina 1.9	55441.0	0.0	295.0	52.0	10.69244782742014	295.0	pass	fail	pass	fail	warn	pass	pass	fail	fail	pass
SRR11825885_2	SRR11825885_2.fastq	Conventional base calls	Sanger / Illumina 1.9	55441.0	0.0	295.0	52.0	25.151061488789882	295.0	pass	fail	pass	fail	warn	pass	pass	fail	fail	pass
SRR11825886_1	SRR11825886_1.fastq	Conventional base calls	Sanger / Illumina 1.9	51424.0	0.0	296.0	52.0	12.836418792781581	296.0	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
SRR11825886_2	SRR11825886_2.fastq	Conventional base calls	Sanger / Illumina 1.9	51424.0	0.0	298.0	53.0	26.831829495955194	298.0	pass	warn	pass	fail	warn	pass	pass	fail	fail	pass
SRR11825887_1	SRR11825887_1.fastq	Conventional base calls	Sanger / Illumina 1.9	49662.0	0.0	297.0	52.0	13.092505336071847	297.0	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
SRR11825887_2	SRR11825887_2.fastq	Conventional base calls	Sanger / Illumina 1.9	49662.0	0.0	299.0	52.0	22.526277636824936	299.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825888_1	SRR11825888_1.fastq	Conventional base calls	Sanger / Illumina 1.9	67049.0	0.0	298.0	53.0	7.874837805187251	298.0	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
SRR11825888_2	SRR11825888_2.fastq	Conventional base calls	Sanger / Illumina 1.9	67049.0	0.0	301.0	54.0	25.518650539157928	301.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825889_1	SRR11825889_1.fastq	Conventional base calls	Sanger / Illumina 1.9	63484.0	0.0	295.0	53.0	7.5420578413458506	295.0	pass	warn	pass	fail	warn	pass	pass	fail	fail	pass
SRR11825889_2	SRR11825889_2.fastq	Conventional base calls	Sanger / Illumina 1.9	63484.0	0.0	295.0	54.0	20.027093440866988	295.0	pass	fail	pass	fail	warn	pass	pass	fail	fail	pass
SRR11825890_1	SRR11825890_1.fastq	Conventional base calls	Sanger / Illumina 1.9	56000.0	0.0	296.0	52.0	8.957142857142857	296.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825890_2	SRR11825890_2.fastq	Conventional base calls	Sanger / Illumina 1.9	56000.0	0.0	298.0	53.0	23.375	298.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825891_1	SRR11825891_1.fastq	Conventional base calls	Sanger / Illumina 1.9	42276.0	0.0	297.0	53.0	10.9045321222443	297.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825891_2	SRR11825891_2.fastq	Conventional base calls	Sanger / Illumina 1.9	42276.0	0.0	299.0	54.0	19.573753429841993	299.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825892_1	SRR11825892_1.fastq	Conventional base calls	Sanger / Illumina 1.9	75994.0	0.0	298.0	53.0	10.935073821617495	298.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825892_2	SRR11825892_2.fastq	Conventional base calls	Sanger / Illumina 1.9	75994.0	0.0	301.0	53.0	26.760007369002814	301.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825893_1	SRR11825893_1.fastq	Conventional base calls	Sanger / Illumina 1.9	58391.0	0.0	295.0	54.0	6.538678905995788	295.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825893_2	SRR11825893_2.fastq	Conventional base calls	Sanger / Illumina 1.9	58391.0	0.0	295.0	55.0	18.502851466835644	295.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825894_1	SRR11825894_1.fastq	Conventional base calls	Sanger / Illumina 1.9	57881.0	0.0	296.0	53.0	11.891639743611893	296.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825894_2	SRR11825894_2.fastq	Conventional base calls	Sanger / Illumina 1.9	57881.0	0.0	298.0	53.0	24.987474300720443	298.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825895_1	SRR11825895_1.fastq	Conventional base calls	Sanger / Illumina 1.9	46898.0	0.0	295.0	53.0	10.179538573073478	295.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825895_2	SRR11825895_2.fastq	Conventional base calls	Sanger / Illumina 1.9	46898.0	0.0	295.0	53.0	25.423258987590092	295.0	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825896_1	SRR11825896_1.fastq	Conventional base calls	Sanger / Illumina 1.9	36979.0	0.0	296.0	54.0	12.282646907704372	296.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825896_2	SRR11825896_2.fastq	Conventional base calls	Sanger / Illumina 1.9	36979.0	0.0	298.0	54.0	27.840125476621868	298.0	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825897_1	SRR11825897_1.fastq	Conventional base calls	Sanger / Illumina 1.9	38658.0	0.0	297.0	55.0	15.745770603756014	297.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825897_2	SRR11825897_2.fastq	Conventional base calls	Sanger / Illumina 1.9	38658.0	0.0	299.0	55.0	25.549692172383466	299.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825898_1	SRR11825898_1.fastq	Conventional base calls	Sanger / Illumina 1.9	56029.0	0.0	295.0	52.0	8.102946688322119	295.0	pass	warn	pass	fail	warn	pass	pass	fail	fail	pass
SRR11825898_2	SRR11825898_2.fastq	Conventional base calls	Sanger / Illumina 1.9	56029.0	0.0	295.0	53.0	21.786931767477558	295.0	pass	fail	pass	fail	warn	pass	pass	fail	fail	pass
SRR11825899_1	SRR11825899_1.fastq	Conventional base calls	Sanger / Illumina 1.9	52826.0	0.0	296.0	53.0	11.884299398023701	296.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825899_2	SRR11825899_2.fastq	Conventional base calls	Sanger / Illumina 1.9	52826.0	0.0	298.0	54.0	26.445311021088102	298.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825900_1	SRR11825900_1.fastq	Conventional base calls	Sanger / Illumina 1.9	41416.0	0.0	297.0	57.0	10.674618504925633	297.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825900_2	SRR11825900_2.fastq	Conventional base calls	Sanger / Illumina 1.9	41416.0	0.0	299.0	56.0	19.767722619277574	299.0	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825901_1	SRR11825901_1.fastq	Conventional base calls	Sanger / Illumina 1.9	54060.0	0.0	298.0	54.0	9.095449500554938	298.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825901_2	SRR11825901_2.fastq	Conventional base calls	Sanger / Illumina 1.9	54060.0	0.0	301.0	55.0	24.05105438401776	301.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825902_1	SRR11825902_1.fastq	Conventional base calls	Sanger / Illumina 1.9	59561.0	0.0	295.0	57.0	9.019324725911252	295.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825902_2	SRR11825902_2.fastq	Conventional base calls	Sanger / Illumina 1.9	59561.0	0.0	295.0	57.0	21.18332465875321	295.0	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825903_1	SRR11825903_1.fastq	Conventional base calls	Sanger / Illumina 1.9	55945.0	0.0	296.0	54.0	10.90356600232371	296.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR11825903_2	SRR11825903_2.fastq	Conventional base calls	Sanger / Illumina 1.9	55945.0	0.0	298.0	53.0	24.854768075788723	298.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
