"Sample","Rank1","Phylum","Class","Order","Family","Genus","Species","OTU"
"AD","1456","1456","1456","1452","1439","1239","267","1456"
"C","1254","1254","1254","1252","1242","1083","228","1254"
"SUM","1584","1584","1584","1580","1567","1352","286","1584"
