"Sample","Rank1","Phylum","Class","Order","Family","Genus","Species","OTU"
"C57","1","7","10","17","22","58","8","109"
"C58","1","7","10","20","32","61","15","119"
"C59","1","5","8","13","17","30","12","75"
"C60","1","4","7","11","17","26","4","47"
"C61","1","5","8","16","29","62","23","156"
"C62","1","5","9","22","32","55","20","111"
"C63","1","5","8","17","27","53","10","101"
"C64","1","5","7","14","17","28","5","54"
"C71","1","5","7","15","23","32","6","72"
"C72","1","6","10","25","43","79","20","186"
"C73","2","8","12","25","38","71","17","117"
"C74","1","5","8","16","19","27","7","58"
"C75","2","7","10","21","35","75","23","168"
"C76","1","4","7","14","23","42","11","85"
"C77","1","5","7","15","21","27","4","48"
"C78","1","5","8","14","18","28","2","41"
"C79","1","4","8","15","24","38","13","83"
"C80","1","5","7","14","21","49","11","89"
"C81","2","6","9","18","30","69","17","152"
"C82","1","7","10","19","29","38","12","65"
"C83","1","5","8","11","13","18","6","27"
"C84","1","7","9","15","26","56","18","131"
"C85","2","8","12","23","36","60","19","133"
"C86","1","6","10","23","37","66","23","120"
"C87","1","4","7","15","27","60","12","133"
"C88","2","6","10","21","36","66","14","143"
"SUM","2","11","17","43","75","208","162","1584"
